a.m./am/A.M./AM	早上	放棄	下腹	絕對的
abandon	放棄	下腹	絕對的	公司合併
abdomen	下腹	絕對的	公司合併	抽象的
absolute	絕對的	公司合併	抽象的	學術的
absorb	公司合併	抽象的	學術的	重音;腔調
abstract	抽象的	學術的	重音;腔調	接受;領受;(票據等的)承兌,認付
academic	學術的	重音;腔調	接受;領受;(票據等的)承兌,認付	通道;入口;門路
accent	重音;腔調	接受;領受;(票據等的)承兌,認付	通道;入口;門路	偶然的;意外的
acceptance	接受;領受;(票據等的)承兌,認付	通道;入口;門路	偶然的;意外的	陪同;伴隨
access	通道;入口;門路	偶然的;意外的	陪同;伴隨	完成;實現;達到
accidental	偶然的;意外的	陪同;伴隨	完成;實現;達到	會計師
accompany	陪同;伴隨	完成;實現;達到	會計師	正確(性);準確(性)
accomplish	完成;實現;達到	會計師	正確(性);準確(性)	指控
accountant	會計師	正確(性);準確(性)	指控	酸性的;有酸味的
accuracy	正確(性);準確(性)	指控	酸性的;有酸味的	使認識;使熟悉
accuse	指控	酸性的;有酸味的	使認識;使熟悉	熟人
acid	酸性的;有酸味的	使認識;使熟悉	熟人	取得;獲得
acquaint	使認識;使熟悉	熟人	取得;獲得	英畝
acquaintance	熟人	取得;獲得	英畝	使適應;使適合
acquire	取得;獲得	英畝	使適應;使適合	足夠的
acre	英畝	使適應;使適合	足夠的	形容詞
adapt	使適應;使適合	足夠的	形容詞	校準;調整
adequate	足夠的	形容詞	校準;調整	值得讚揚的;絕妙的
adjective	形容詞	校準;調整	值得讚揚的;絕妙的	欽佩;羨慕
adjust	校準;調整	值得讚揚的;絕妙的	欽佩;羨慕	入會
admirable	值得讚揚的;絕妙的	欽佩;羨慕	入會	副詞
admiration	欽佩;羨慕	入會	副詞	仲介;代理
admission	入會	副詞	仲介;代理	代理人;代理商
adverb	副詞	仲介;代理	代理人;代理商	好鬥的,挑釁的;有進取精神的
agency	仲介;代理	代理人;代理商	好鬥的,挑釁的;有進取精神的	欣然贊同的
agent	代理人;代理商	好鬥的,挑釁的;有進取精神的	欣然贊同的	愛滋病
aggressive	好鬥的,挑釁的;有進取精神的	欣然贊同的	愛滋病	酒精
agreeable	欣然贊同的	愛滋病	酒精	警惕的;機敏的
AIDS/acquired immune	愛滋病	酒精	警惕的;機敏的	津貼,零用錢
alcohol	酒精	警惕的;機敏的	津貼,零用錢	鋁
alert	警惕的;機敏的	津貼,零用錢	鋁	業餘的;外行的
allowance/pocket money	津貼,零用錢	鋁	業餘的;外行的	有野心的
aluminum	鋁	業餘的;外行的	有野心的	在～之間
amateur	業餘的;外行的	有野心的	在～之間	逗...高興
ambitious	有野心的	在～之間	逗...高興	分析
amid/amidst	在～之間	逗...高興	分析	分析
amuse	逗...高興	分析	分析	祖先
analysis	分析	分析	祖先	周年紀念日
analyze	分析	祖先	周年紀念日	惹惱,使生氣;使煩惱
ancestor	祖先	周年紀念日	惹惱,使生氣;使煩惱	每年
anniversary	周年紀念日	惹惱,使生氣;使煩惱	每年	焦慮,掛念
annoy	惹惱,使生氣;使煩惱	每年	焦慮,掛念	焦慮的,掛念的
annual	每年	焦慮,掛念	焦慮的,掛念的	道歉
anxiety	焦慮,掛念	焦慮的,掛念的	道歉	道歉
anxious	焦慮的,掛念的	道歉	道歉	用具;裝置,設備
apologize	道歉	道歉	用具;裝置,設備	申請人
apology	道歉	用具;裝置,設備	申請人	應用程式
appliance	用具;裝置,設備	申請人	應用程式	任命；委任
applicant	申請人	應用程式	任命；委任	升值
application	應用程式	任命；委任	升值	適當的,恰當的
appoint	任命；委任	升值	適當的,恰當的	批准，認可
appreciation	升值	適當的,恰當的	批准，認可	使成弧形,拱起
appropriate	適當的,恰當的	批准，認可	使成弧形,拱起	升起
approval	批准，認可	使成弧形,拱起	升起	武器;戰爭;戰鬥;兵役
arch	使成弧形,拱起	升起	武器;戰爭;戰鬥;兵役	喚起;激動;叫醒
arise	升起	武器;戰爭;戰鬥;兵役	喚起;激動;叫醒	文章
arms	武器;戰爭;戰鬥;兵役	喚起;激動;叫醒	文章	人工的
arouse	喚起;激動;叫醒	文章	人工的	藝術的
article 	文章	人工的	藝術的	羞愧的
artificial	人工的	藝術的	羞愧的	方面,觀點
artistic	藝術的	羞愧的	方面,觀點	阿斯匹靈(解熱鎮痛藥)
ashamed	羞愧的	方面,觀點	阿斯匹靈(解熱鎮痛藥)	集合,召集
aspect	方面,觀點	阿斯匹靈(解熱鎮痛藥)	集合,召集	集會;集合
aspirin	阿斯匹靈(解熱鎮痛藥)	集合,召集	集會;集合	分配,分派
assemble	集合,召集	集會;集合	分配,分派	幫助,協助
assembly	集會;集合	分配,分派	幫助,協助	結合
assign	分配,分派	幫助,協助	結合	協會,公會,社團
assistance	幫助,協助	結合	協會,公會,社團	假定
associate	結合	協會,公會,社團	假定	保證
association	協會,公會,社團	假定	保證	向...保證,擔保
assume	假定	保證	向...保證,擔保	運動的,體育的;行動敏捷的
assurance	保證	向...保證,擔保	運動的,體育的;行動敏捷的	自動櫃員機
assure	向...保證,擔保	運動的,體育的;行動敏捷的	自動櫃員機	氣氛
athletic	運動的,體育的;行動敏捷的	自動櫃員機	氣氛	原子
ATM/ automatic teller	自動櫃員機	氣氛	原子	原子的
atmosphere	氣氛	原子	原子的	附上
atom	原子	原子的	附上	吸引力
atomic	原子的	附上	吸引力	聽覺的,聲音的
attach	附上	吸引力	聽覺的,聲音的	職權;官方
attraction	吸引力	聽覺的,聲音的	職權;官方	自傳
audio	聽覺的,聲音的	職權;官方	自傳	等候
authority	職權;官方	自傳	等候	笨拙的;尷尬的
autobiography	自傳	等候	笨拙的;尷尬的	背包
await	等候	笨拙的;尷尬的	背包	禿頭的
awkward	笨拙的;尷尬的	背包	禿頭的	芭蕾舞
backpack	背包	禿頭的	芭蕾舞	破產的;已完全失敗的
bald	禿頭的	芭蕾舞	破產的;已完全失敗的	討價還價
ballet	芭蕾舞	破產的;已完全失敗的	討價還價	障礙物;路障
bankrupt	破產的;已完全失敗的	討價還價	障礙物;路障	臉盆
bargain	討價還價	障礙物;路障	臉盆	電池
barrier	障礙物;路障	臉盆	電池	鳥嘴
basin	臉盆	電池	鳥嘴	微笑
battery	電池	鳥嘴	微笑	行為
beak	鳥嘴	微笑	行為	傳記
beam 	微笑	行為	傳記	生物學
behavior	行為	傳記	生物學	刀片
biography	傳記	生物學	刀片	使混和
biology	生物學	刀片	使混和	祝福
blade	刀片	使混和	祝福	眨眼睛;閃爍
blend	使混和	祝福	眨眼睛;閃爍	興盛
blessing	祝福	眨眼睛;閃爍	興盛	開花;發展成
blink	眨眼睛;閃爍	興盛	開花;發展成	臉紅
bloom	興盛	開花;發展成	臉紅	吹牛
blossom	開花;發展成	臉紅	吹牛	使...黏合
blush	臉紅	吹牛	使...黏合	彈起,彈回
boast	吹牛	使...黏合	彈起,彈回	手鐲
bond	使...黏合	彈起,彈回	手鐲	胸罩
bounce	彈起,彈回	手鐲	胸罩	使繁殖,飼養
bracelet	手鐲	胸罩	使繁殖,飼養	新郎
brassiere/bra	胸罩	使繁殖,飼養	新郎	烤;炙
breed	使繁殖,飼養	新郎	烤;炙	一文不名的;破了產的
bridegroom/groom	新郎	烤;炙	一文不名的;破了產的	野蠻的;粗暴的
broil	烤;炙	一文不名的;破了產的	野蠻的;粗暴的	公報;公告
broke	一文不名的;破了產的	野蠻的;粗暴的	公報;公告	櫃子
brutal	野蠻的;粗暴的	公報;公告	櫃子	計算
bulletin	公報;公告	櫃子	計算	計算;估計,推測;盤算
cabinet	櫃子	計算	計算;估計,推測;盤算	計算機
calculate 	計算	計算;估計,推測;盤算	計算機	卡路里
calculation	計算;估計,推測;盤算	計算機	卡路里	參加競選
calculator	計算機	卡路里	參加競選	候補者
calorie	卡路里	參加競選	候補者	容量,容積
campaign	參加競選	候補者	容量,容積	岬,海角
candidate	候補者	容量,容積	岬,海角	首都
capacity	容量,容積	岬,海角	首都	資本主義者
cape	岬,海角	首都	資本主義者	職業
capital	首都	資本主義者	職業	(船、飛機、車輛裝載的)貨物
capitalist	資本主義者	職業	(船、飛機、車輛裝載的)貨物	運送人;從事運輸業公司;帶菌者
career	職業	(船、飛機、車輛裝載的)貨物	運送人;從事運輸業公司;帶菌者	刻,雕刻
cargo	(船、飛機、車輛裝載的)貨物	運送人;從事運輸業公司;帶菌者	刻,雕刻	為...編目;登記,記載
carrier	運送人;從事運輸業公司;帶菌者	刻,雕刻	為...編目;登記,記載	激光唱片
carve	刻,雕刻	為...編目;登記,記載	激光唱片	停止,終止
catalogue/catalog	為...編目;登記,記載	激光唱片	停止,終止	慶祝
CD/compact disk	激光唱片	停止,終止	慶祝	黏緊,黏牢
cease	停止,終止	慶祝	黏緊,黏牢	室,房間;議院
celebration	慶祝	黏緊,黏牢	室,房間;議院	冠軍的地位
cement	黏緊,黏牢	室,房間;議院	冠軍的地位	特有的,獨特的
chamber	室,房間;議院	冠軍的地位	特有的,獨特的	施捨;善舉
championship	冠軍的地位	特有的,獨特的	施捨;善舉	化學
characteristic	特有的,獨特的	施捨;善舉	化學	撫育;愛護
charity	施捨;善舉	化學	撫育;愛護	鳥發啾聲;蟲發唧聲;人嘁喳說話
chemistry	化學	撫育;愛護	鳥發啾聲;蟲發唧聲;人嘁喳說話	家庭雜務
cherish	撫育;愛護	鳥發啾聲;蟲發唧聲;人嘁喳說話	家庭雜務	合唱團
chirp	鳥發啾聲;蟲發唧聲;人嘁喳說話	家庭雜務	合唱團	雪茄煙
chore	家庭雜務	合唱團	雪茄煙	電影院;電影;電影業
chorus	合唱團	雪茄煙	電影院;電影;電影業	圓形的;環形的
cigar	雪茄煙	電影院;電影;電影業	圓形的;環形的	流通;發行
cinema	電影院;電影;電影業	圓形的;環形的	流通;發行	發行量
circular	圓形的;環形的	流通;發行	發行量	境況;境遇
circulate	流通;發行	發行量	境況;境遇	百姓的;民用的
circulation	發行量	境況;境遇	百姓的;民用的	文明
circumstance	境況;境遇	百姓的;民用的	文明	澄清;闡明
civilian	百姓的;民用的	文明	澄清;闡明	砰地相碰撞
civilization	文明	澄清;闡明	砰地相碰撞	分類;分級
clarify	澄清;闡明	砰地相碰撞	分類;分級	將...分類
clash	砰地相碰撞	分類;分級	將...分類	懸崖,峭壁
classification	分類;分級	將...分類	懸崖,峭壁	使達到頂點(或高潮)
classify	將...分類	懸崖,峭壁	使達到頂點(或高潮)	笨拙的
cliff	懸崖,峭壁	使達到頂點(或高潮)	笨拙的	粗的,粗糙的
climax	使達到頂點(或高潮)	笨拙的	粗的,粗糙的	為...編碼
clumsy	笨拙的	粗的,粗糙的	為...編碼	倒塌
coarse	粗的,粗糙的	為...編碼	倒塌	組合
code	為...編碼	倒塌	組合	喜劇
collapse	倒塌	組合	喜劇	滑稽的
combination	組合	喜劇	滑稽的	指揮官,司令官
comedy	喜劇	滑稽的	指揮官,司令官	評論
comic	滑稽的	指揮官,司令官	評論	商業,貿易,交易
commander	指揮官,司令官	評論	商業,貿易,交易	保證
comment	評論	商業,貿易,交易	保證	溝通
commerce	商業,貿易,交易	保證	溝通	社區
commit	保證	溝通	社區	同伴
communication	溝通	社區	同伴	競爭,角逐
community	社區	同伴	競爭,角逐	競爭的
companion	同伴	競爭,角逐	競爭的	競爭者;對手
competition	競爭,角逐	競爭的	競爭者;對手	使複雜化
competitive	競爭的	競爭者;對手	使複雜化	作(詩,曲等);構(圖)
