embarrass	使困窘	大使館	浮現;出現	易動情的
embassy	大使館	浮現;出現	易動情的	強調,重視,重點
emerge	浮現;出現	易動情的	強調,重視,重點	帝國
emotional	易動情的	強調,重視,重點	帝國	圍起
emphasis	強調,重視,重點	帝國	圍起	遇見
empire	帝國	圍起	遇見	危及;使遭到危險
enclose	圍起	遇見	危及;使遭到危險	忍耐,忍受
encounter	遇見	危及;使遭到危險	忍耐,忍受	實施,執行
endanger	危及;使遭到危險	忍耐,忍受	實施,執行	工程;工程學
endure	忍耐,忍受	實施,執行	工程;工程學	擴大;擴展
enforce	實施,執行	工程;工程學	擴大;擴展	巨大的
engineering	工程;工程學	擴大;擴展	巨大的	招待,款待
enlarge	擴大;擴展	巨大的	招待,款待	熱心,熱情
enormous	巨大的	招待,款待	熱心,熱情	嫉妒的;羨慕的
entertain	招待,款待	熱心,熱情	嫉妒的;羨慕的	相等;平等
enthusiasm	熱心,熱情	嫉妒的;羨慕的	相等;平等	裝備,配備
envious 	嫉妒的;羨慕的	相等;平等	裝備,配備	年代
equality	相等;平等	裝備,配備	年代	差事,差使
equip	裝備,配備	年代	差事,差使	電扶梯
era	年代	差事,差使	電扶梯	論說文;散文
errand	差事,差使	電扶梯	論說文;散文	必要的;實質的
escalator	電扶梯	論說文;散文	必要的;實質的	建立;設立
essay	論說文;散文	必要的;實質的	建立;設立	估計,估量
essential	必要的;實質的	建立;設立	估計,估量	對...評價
establish	建立;設立	估計,估量	對...評價	評估;估價
estimate	估計,估量	對...評價	評估;估價	前夕
evaluate	對...評價	評估;估價	前夕	最後的
evaluation	評估;估價	前夕	最後的	顯示,表明
eve	前夕	最後的	顯示,表明	明顯的;明白的
eventual	最後的	顯示,表明	明顯的;明白的	誇大
evidence	顯示,表明	明顯的;明白的	誇大	應試者;受檢查者
evident	明顯的;明白的	誇大	應試者;受檢查者	主考人;檢查人;審查員
exaggerate	誇大	應試者;受檢查者	主考人;檢查人;審查員	例外
examinee	應試者;受檢查者	主考人;檢查人;審查員	例外	使筋疲力竭；使疲憊不堪
examiner	主考人;檢查人;審查員	例外	使筋疲力竭；使疲憊不堪	展示,陳列
exception	例外	使筋疲力竭；使疲憊不堪	展示,陳列	展開,張開
exhaust	使筋疲力竭；使疲憊不堪	展示,陳列	展開,張開	擴展;擴張
exhibit	展示,陳列	展開,張開	擴展;擴張	實驗性的;試驗性的
expand	展開,張開	擴展;擴張	實驗性的;試驗性的	說明,解釋
expansion	擴展;擴張	實驗性的;試驗性的	說明,解釋	探測;探勘
