peer	仔細看	處罰;刑罰;罰款	百分之一	百分率,百分比
penalty	處罰;刑罰;罰款	百分之一	百分率,百分比	完美;盡善盡美
percent/per cent	百分之一	百分率,百分比	完美;盡善盡美	香水
percentage	百分率,百分比	完美;盡善盡美	香水	永久的,永恆的;永遠的
perfection	完美;盡善盡美	香水	永久的,永恆的;永遠的	說服,勸說
perfume 	香水	永久的,永恆的;永遠的	說服,勸說	有說服力的
permanent	永久的,永恆的;永遠的	說服,勸說	有說服力的	悲觀的
persuasion	說服,勸說	有說服力的	悲觀的	花瓣
persuasive	有說服力的	悲觀的	花瓣	現象
pessimistic	悲觀的	花瓣	現象	哲學家
petal	花瓣	現象	哲學家	哲學的
phenomenon	現象	哲學家	哲學的	哲學
philosopher	哲學家	哲學的	哲學	照相術,攝影術
philosophical	哲學的	哲學	照相術,攝影術	身體的;物理學的
philosophy	哲學	照相術,攝影術	身體的;物理學的	內科醫生
photography	照相術,攝影術	身體的;物理學的	內科醫生	物理學家
physical	身體的;物理學的	內科醫生	物理學家	物理
physician/doctor	內科醫生	物理學家	物理	鋼琴家;鋼琴演奏者
physicist	物理學家	物理	鋼琴家;鋼琴演奏者	扒手
physics	物理	鋼琴家;鋼琴演奏者	扒手	當先驅,成為開拓者
pianist	鋼琴家;鋼琴演奏者	扒手	當先驅,成為開拓者	掠奪;剽竊
pickpocket	扒手	當先驅,成為開拓者	掠奪;剽竊	豐富的,充足的;多的
pioneer	當先驅,成為開拓者	掠奪;剽竊	豐富的,充足的;多的	密謀,策劃;標繪
pirate	掠奪;剽竊	豐富的,充足的;多的	密謀,策劃;標繪	複數的
plentiful	豐富的,充足的;多的	密謀,策劃;標繪	複數的	有毒的;有害的
plot	密謀,策劃;標繪	複數的	有毒的;有害的	磨光,擦亮
plural	複數的	有毒的;有害的	磨光,擦亮	污染
poisonous	有毒的;有害的	磨光,擦亮	污染	普及;流行;聲望
polish	磨光,擦亮	污染	普及;流行;聲望	手提式的;輕便的
pollution	污染	普及;流行;聲望	手提式的;輕便的	搬運工人,腳夫
popularity	普及;流行;聲望	手提式的;輕便的	搬運工人,腳夫	畫;描寫
portable	手提式的;輕便的	搬運工人,腳夫	畫;描寫	擁有,持有;具有
porter	搬運工人,腳夫	畫;描寫	擁有,持有;具有	擁有;佔有;所有物
portray	畫;描寫	擁有,持有;具有	擁有;佔有;所有物	精確的;準確的
possess	擁有,持有;具有	擁有;佔有;所有物	精確的;準確的	預言;預料
possession	擁有;佔有;所有物	精確的;準確的	預言;預料	更可取的,更合意的
precise	精確的;準確的	預言;預料	更可取的,更合意的	懷孕
predict	預言;預料	更可取的,更合意的	懷孕	懷孕的
preferable	更可取的,更合意的	懷孕	懷孕的	介系詞;前置詞
pregnancy	懷孕	懷孕的	介系詞;前置詞	贈送;呈現;介紹,引見
