[延年]益壽	拉長歲數，增加壽命。
[譁眾]取寵	用迎合眾人喜好的言語行動，博取他人對自己的喜愛。
[應有]盡有	形容事物齊備。
[我見]猶憐	形容女子容貌美麗，惹人憐愛。
[束手]待斃	比喻危難時不想辦法解決，坐等敗亡。
[龍潭]虎穴	比喻危及生命的凶險之地。
[臨淵]羨魚	比喻雖有欲望，卻沒有實際行動。
[豁達]大度	形容心胸寬闊、度量宏大，能容人。
[作姦]犯科	指為非作歹，違法亂紀。
[有始]有終	指有開頭，有結尾。比喻做事能貫徹到底。
[乘龍]快婿	比喻好女婿。
[牝雞]司晨	比喻女性當權。多含貶義。
[冰清]玉潔	如同冰一樣清澈晶瑩，如同玉一般潔淨無瑕。＆ 比喻品行高潔磊落。＆ 比喻女子堅守貞操。
[不期]而遇	指未經約定而意外相見。
[顧影]自憐	看著自己的形影，想到自己的遭遇，自我憐憫。 ＆看著自己美好的形影，自我欣賞。
[好大]喜功	指行事作風鋪張浮誇，不切實際。
[好為]人師	指人自以為是，喜歡教導別人[近朱者赤，近墨者黑]	指環境會影響和改變人的習性。。
[如花]似玉	比喻女子美麗動人。
[如狼]似虎	形容像狼、虎般行動迅速，威武勇猛。＆比喻性情、手段凶狠殘暴。
[吟風]弄月	指詩人以清風、明月等題材來吟詠詩句。＆比喻吟詩作對的閒情逸致。＆指作品空泛不切實際。
