[三從]四德	指舊時社會婦女必須具備的德性。
[以逸]待勞	說明用兵者養精蓄銳，以安逸等待疲憊的敵人，而予以痛擊則可勝。
[人心]不古	感嘆現在的人，失去古人的忠厚淳樸。貶義。
[十室]九空	形容天災人禍造成人民窮困散亡的淒涼景象。
[九霄]雲外	比喻天上極其高遠之處。
[立竿]見影	比喻迅速收到成效。
[一盤]散沙	比喻人心渙散，缺乏凝合的力量，不能團結起來。
[因材]施教	依據受教者不同的資材，而給予不同的教導。
[錦囊]妙計	比喻預先規劃以應付意外、解決危急的有效方法。
[一目]了然	看一眼就完全清楚明白。
[好事]多磨	形容男女佳期不順。＆形容事情進行不順，常遇挫折。
[目光]如炬	形容目光有神。＆比喻見事透澈，識見遠大。褒義。
[生不]逢辰	比喻遇不到好時機，命運坎坷。
[目光]如豆	形容目光短淺，見識狹窄。
[全軍]覆沒	比喻完全喪失或澈底失敗。
[避重]就輕	避開艱難繁重的工作，而選擇輕鬆容易的。＆比喻避開主要的問題，而只談些無關緊要的事。
[矯揉]造作	形容刻意地人工施為與雕琢。貶義。＆形容裝腔作勢、刻意做作的態度。貶義。
[老謀]深算	形容人精明老練，計慮深遠。
[分崩]離析	形容國家或集團的分裂瓦解。
[同歸]於盡	比喻一同毀滅或死亡。
