[以鄰]為壑	比喻將困難和災禍推到別人身上。貶義。
[言簡]意賅	言辭簡單而意思完備。
[積重]難返	長期累積成的不良習慣與弊病，難以改正。
[言過]其實	指言辭虛妄誇大，與事實不相符。
[標新]立異	形容創立新奇的名目或主張，以表示與眾不同。
[歷歷]在目	清楚明白地呈現在眼前。
[垂涎]三尺	形容非常貪饞。＆比喻看見別人的東西極想據為己有。
[來龍]去脈	堪輿家用以形容山脈河流走向的術語。＆比喻事情的首尾始末。
[窮途]末路	形容無路可走，處於十分窮困的境況。
[櫛風]沐雨	比喻在外奔走，極為辛勞。
[和衷]共濟	比喻彼此同心共渡難關。
[鏡花]水月	比喻空幻不實在。
[所向]披靡	比喻力量所到之處，敵人紛紛潰敗逃散。
[侃侃]而談	形容說話從容不迫的樣子。
[一衣]帶水	形容江流狹窄有如一條衣帶。＆泛指江河阻隔不足以限制交往。
[門當]戶對	形容結親的雙方家庭經濟和社會地位相當。
[融會]貫通	形容將各種知識或事物加以融合、貫穿，進而獲得全面通徹的領會。
[劍拔]弩張	形容形勢緊張或聲勢逼人。＆形容書法筆力雄健。
[管窺]蠡測	比喻見識淺陋狹窄。
[明知]故犯	形容明明知道不對，卻故意去做。
