[鋌而]走險	在窮途末路或受逼迫時採取冒險行動或不正當的行為。
[左右]逢源	比喻辦事得心應手或處事圓融。
[傾國]傾城	形容女子極為美麗動人。
[待價]而沽	比喻人等待良機，出為世用。＆比喻商品等待買主出價買下。
[焚膏]繼晷	形容不眠不休地的工作或活動。
[狡兔]三窟	比喻有多處藏身的地方或多種避禍的準備。
[忠言]逆耳	形容誠懇正直的規勸往往刺耳，而不易被人接受。
[嗟來]之食	比喻侮辱性或不懷好意的施捨。
[斷章]取義	指截取文章或談話中的某一段落，而不顧整體內容的原意。
[上下]其手	比喻玩弄手段，暗中作弊。＆形容帶有邪念，不禮貌地觸摸他人身體。
[一日]三秋	比喻思念心切。
[出生]入死	人從出生到死亡的過程。＆比喻冒險犯難，隨時有喪失生命的危險。
[諱莫]如深	比喻將事情隱瞞得非常嚴密，不為外人所知。
[一字]千金	比喻文辭精當，結構嚴謹。褒義。 ＆形容價值極高的作品。褒義。 ＆指書法上一字價值千金。
[日薄]西山	太陽快下山之時。＆比喻人已近老，生命將盡。＆比喻事物接近衰亡。
[首鼠]兩端	形容猶豫不決的樣子。
[心曠]神怡	心情開朗，精神愉悅。
[洞若]觀火	比喻觀察事物非常透澈。
[心腹]之患	形容致命的禍患或隱藏在內部的危害。
[專心]致志	專一心思，集中精神。
