[虛應]故事	形容做事不認真，敷衍了事。
[眉清]目秀	形容面貌清秀俊麗。
[損人]利己	使別人蒙受損失而讓自己得到利益。
[苗而]不秀	禾苗雖然成長，卻不吐穗開花。＆比喻人的資質雖好，但始終沒有成就。
[來日]方長	將來的日子還很長，指事情未來還有發展或變化。
[物腐]蟲生	比喻事出有因，必先有弱點而後才讓他人有機可乘。
[瑕瑜]互見	比喻缺點與優點同時並存。
[青面]獠牙	形容面容非常凶惡可怕。
[拈花]惹草	比喻男子在外挑逗、勾搭女子，到處留情。＆指種植花木。
[碩果]僅存	比喻經過世事汰換而極少數留存的可貴人物或成果。
[冰雪]聰明	形容人非常聰明。
[牽腸]掛肚	比喻十分掛念，放心不下。
[少年]老成	年紀雖輕，舉止卻成熟穩重，辦事老練。＆年輕人外表較實際年齡成熟或缺乏朝氣與活力。
[呼天]搶地	大聲喊天，用頭撞地。形容極度哀傷、悲痛。
[舉目]無親	指孤單無依。
[扶老]攜幼	指男女老幼全體出動的情況。
[中庸]之道	不偏不倚、無過與不及的處事態度。
[弄瓦]之喜	祝賀人生女之辭。
[錦衣]玉食	形容豪華奢侈的生活。
[蓬蓽]生輝	比喻他人所贈之物或貴客之來訪令人倍感光彩。
