[一見]如故	初次見面就相處融洽，如同老朋友一般。
[得意]忘形	形容人高興過頭，舉止失去常態[小巫見大巫]	比喻相形見絀，無法相提並論。。
[怒髮]衝冠	形容盛怒的樣子。
[一塵]不染	佛家修道的人，不被六塵（色、聲、香、味、觸、法）所玷汙。＆比喻人品純潔，絲毫不沾染壞習氣。＆形容非常乾淨，一點灰塵都沒有。
[三令]五申	再三命令告誡。
[愚公]移山	比喻努力不懈，終能達成目標。＆比喻效率不佳。
[口蜜]腹劍	比喻一個人嘴上說得好聽，事實上卻內心險惡，處處想陷害別人。
[短兵]相接	比喻近距離激烈地搏打、爭鬥。
[不寒]而慄	形容內心恐懼極至。
[別開]生面	比喻另外開創新的局面、風格、形式。
[枕戈]待旦	形容殺敵報國之心急切，隨時準備作戰。＆形容人全神戒備，絲毫不敢鬆懈。
[事半]功倍	形容費力少而收效大。
[數典]忘祖	比喻人忘本。貶義。
[中流]砥柱	比喻獨立不撓、能擔當重任支撐大局的人。
[欲蓋]彌彰	形容想要掩飾過失，反而使過失更加顯明。
[對症]下藥	針對病症開方用藥。＆比喻針對癥結所在，做有效的處理。
[按部]就班	比喻做事依照一定的層次、步驟進行。
[錦上]添花	比喻美上加美，喜上加喜。
[尾大]不掉	比喻下屬的勢力強大，在上者難以駕馭。＆比喻事物因輕重關係倒置，形成難以控制的局面。
[抱殘]守缺	比喻固守舊有事物或思想，而不知改進變通。
