[金科]玉律	形容完善嚴密的法律條文或比喻不可變更的信條。
[各自]為政	各依自己的主張行事，不顧全整體。
[瓦釜]雷鳴	比喻平庸無才德的人卻居於顯赫的高位。＆比喻拙劣的文章卻風行於世。
[通權]達變	指不墨守常規，根據實際情況作適當的處置。
[望穿]秋水	形容殷切盼望。
[高抬]貴手	請求寬容饒恕的客套話。
[移花]接木	比喻暗中使用手段，以假換真，欺騙他人。
[不可]一世	指人驕橫自大，目空一切，以為他人無與倫比。貶義。
[柳暗]花明	形容綠柳成蔭，繁花似錦的美景。＆比喻在曲折艱辛之後，忽然絕處逢生，另有一番情景。
[引經]據典	引用經書典籍等做為說話、作文的依據。
[有條]不紊	指條理分明，有次序而不雜亂。褒義。
[汗馬]功勞	指征戰的功勞，亦泛指一般的功勞。
[如願]以償	心願得以實現。
[脫穎]而出	比喻顯露才能，超越眾人[割雞焉用牛刀]	比喻處理小事，毋需大才。。
[低聲]下氣	形容說話恭順小心的樣子。
[楚材]晉用	比喻人才外流。
[引狼]入室	比喻自招其禍。
[解衣]推食	將衣食贈送他人，以示關懷之意。
[兵不]厭詐	本指作戰時不排斥以欺詐的方法來取勝。後亦比喻做事為了達到目的，不排斥使用詭詐的手段。
[漸入]佳境	比喻境況逐漸進展至美好的境界或興味漸濃。
