[壽終]正寢	男子享盡天年，在家中自然死亡。＆比喻事物的消亡。
[落花]流水	形容暮春殘敗的景象。＆形容零落殘敗，雜亂的景象。
[江河]日下	比喻情況日漸敗壞。
[腦滿]腸肥	頭部豐滿，肚腹肥胖。＆形容飽食終日，無所用心，以致徒有外觀而實無內涵。
[色厲]內荏	外表嚴厲而內心怯懦。
[耳提]面命	比喻懇切教誨。
[萍水]相逢	比喻兩個人本來不相識，因機緣巧合偶然相逢，亦指交情尚屬微淺。
[愁眉]不展	雙眉緊鎖，很憂愁的樣子。
[體無]完膚	形容受傷慘重。＆比喻遭人批評、駁斥得一無是處，面目全非。
[視死]如歸	形容為了理想而不怕犧性生命，無所畏懼。
[海底]撈針	比喻東西很難找到或事情很難做到。
[虛懷]若谷	形容為人謙虛，能接納他人的意見。
[無出]其右	指沒有人能勝過他。
[栩栩]如生	貌態逼真，彷彿具有生命力。
[三人]成虎	比喻謠言再三重複，亦能使人信以為真。
[勞燕]分飛	比喻別離，多用於夫妻、情人之間。
[風吹]草動	風吹起，草木搖動。＆比喻輕微的動靜變化。
[惡貫]滿盈	比喻罪大惡極，末日已到。
[倚老]賣老	自以為年紀大，閱歷豐富，而看不起別人。
[無中]生有	指本無其事，憑空捏造。
