締め切り (しめきり)	deadline	as was expected	huge	ground
果たして (はたして)	as was expected	huge	ground	agricultural produce
膨大 (ぼうだい)	huge	ground	agricultural produce	sales
地盤 (じばん)	ground	agricultural produce	sales	easy
農産物 (のうさんぶつ)	agricultural produce	sales	easy	first-class
売れ行き (うれゆき)	sales	easy	first-class	aerial
安易 (あんい)	easy	first-class	aerial	rotation 
一流 (いちりゅう)	first-class	aerial	rotation 	surgery 
架空 (かくう)	aerial	rotation 	surgery 	musical instrument
回転 (かいてん)	rotation 	surgery 	musical instrument	closed 
外科 (げか)	surgery 	musical instrument	closed 	complaint
楽器 (がっき)	musical instrument	closed 	complaint	sky
休業 (きゅうぎょう)	closed 	complaint	sky	raw materials
苦情 (くじょう)	complaint	sky	raw materials	limit
空中 (くうちゅう)	sky	raw materials	limit	classic 
原料 (げんりょう)	raw materials	limit	classic 	justice
限度 (げんど)	limit	classic 	justice	again and again
古典 (こてん)	classic 	justice	again and again	producing area
公正 (こうせい)	justice	again and again	producing area	speed 
再三 (さいさん)	again and again	producing area	speed 	self-defense
