回数 (かいすう)	number of times	ocean	government office	signboard
海洋 (かいよう)	ocean	government office	signboard	soon
官庁 (かんちょう)	government office	signboard	soon	pay
看板 (かんばん)	signboard	soon	pay	fishing 
まもなく (間もなく)	soon	pay	fishing 	horse racing
給与 (きゅうよ)	pay	fishing 	horse racing	koto 
漁業 (ぎょぎょう)	fishing 	horse racing	koto 	form 
競馬 (けいば)	horse racing	koto 	form 	defense
琴 (こと)	koto 	form 	defense	public entertainment
形式 (けいしき)	form 	defense	public entertainment	blood
警備 (けいび)	defense	public entertainment	blood	official announcement
芸能 (げいのう)	public entertainment	blood	official announcement	scheme
血液 (けつえき)	blood	official announcement	scheme	plaza
公表 (こうひょう)	official announcement	scheme	plaza	event
工夫 (くふう)	scheme	plaza	event	leading part
広場 (ひろば)	plaza	event	leading part	end
行事 (ぎょうじ)	event	leading part	end	shop
主役 (しゅやく)	leading part	end	shop	shogi
終了 (しゅうりょう)	end	shop	shogi	negative
商店 (しょうてん)	shop	shogi	negative	top and bottom
