付属 (ふぞく)	attached	after this	making a round trip	hot spring 
以後 (いご)	after this	making a round trip	hot spring 	cargo
往復 (おうふく)	making a round trip	hot spring 	cargo	outside 
温泉 (おんせん)	hot spring 	cargo	outside 	study subject
貨物 (かもつ)	cargo	outside 	study subject	indication
外部 (がいぶ)	outside 	study subject	indication	confident
学科 (がっか)	study subject	indication	confident	to endeavor 
気配 (けはい)	indication	confident	to endeavor 	limits
強気 (つよき)	confident	to endeavor 	limits	manuscript
努める (つとめる)	to endeavor 	limits	manuscript	multistory
区域 (くいき)	limits	manuscript	multistory	altitude
原稿 (げんこう)	manuscript	multistory	altitude	high class
高層 (こうそう)	multistory	altitude	high class	king
高度 (こうど)	altitude	high class	king	author
高等 (こうとう)	high class	king	author	drawing up 
国王 (こくおう)	king	author	drawing up 	dead body
作者 (さくしゃ)	author	drawing up 	dead body	practical use
作成 (さくせい)	drawing up 	dead body	practical use	reduction
死体 (したい)	dead body	practical use	reduction	front and rear
実用 (じつよう)	practical use	reduction	front and rear	whole 
