産地 (さんち)	producing area	speed 	self-defense	weight 
時速 (じそく)	speed 	self-defense	weight 	official tour
自衛 (じえい)	self-defense	weight 	official tour	calligraphy
重量 (じゅうりょう)	weight 	official tour	calligraphy	surname
出張 (しゅっちょう)	official tour	calligraphy	surname	ingredient
書道 (しょどう)	calligraphy	surname	ingredient	existence
姓 (せい)	surname	ingredient	existence	pointed end
成分 (せいぶん)	ingredient	existence	pointed end	the whole
生存 (せいぞん)	existence	pointed end	the whole	obedient
先端 (せんたん)	pointed end	the whole	obedient	storehouse
全般 (ぜんぱん)	the whole	obedient	storehouse	as ever
素直 (すなお)	obedient	storehouse	as ever	system
倉庫 (そうこ)	storehouse	as ever	system	gymnastics
相変わらず (あいかわらず)	as ever	system	gymnastics	carpenter
体系 (たいけい)	system	gymnastics	carpenter	notice
体操 (たいそう)	gymnastics	carpenter	notice	interpretation 
大工 (だいく)	carpenter	notice	interpretation 	characteristic
通知 (つうち)	notice	interpretation 	characteristic	contradiction
通訳 (つうやく)	interpretation 	characteristic	contradiction	interview 
特色 (とくしょく)	characteristic	contradiction	interview 	lumber
