来日 (らいにち)	arrival in Japan	meeting hall	chance	alternation
会館 (かいかん)	meeting hall	chance	alternation	discussion
きっかけ (切っ掛け)	chance	alternation	discussion	meaning
交代 (こうたい)	alternation	discussion	meaning	moving
話し合い (はなしあい)	discussion	meaning	moving	drama
意義 (いぎ)	meaning	moving	drama	volcano
移転 (いてん)	moving	drama	volcano	majority
演劇 (えんげき)	drama	volcano	majority	explanation
火山 (かざん)	volcano	majority	explanation	remodeling
過半数 (かはんすう)	majority	explanation	remodeling	opening of a meeting
解説 (かいせつ)	explanation	remodeling	opening of a meeting	scientific society
改造 (かいぞう)	remodeling	opening of a meeting	scientific society	activity 
開会 (かいかい)	opening of a meeting	scientific society	activity 	impressions
学会 (がっかい)	scientific society	activity 	impressions	training 
活躍 (かつやく)	activity 	impressions	training 	principle
感想 (かんそう)	impressions	training 	principle	pollution
研修 (けんしゅう)	training 	principle	pollution	data item
原理 (げんり)	principle	pollution	data item	high class
公害 (こうがい)	pollution	data item	high class	important point
項目 (こうもく)	data item	high class	important point	bookshop
