もち (餅)	mochi	questions and answers	arrow 	pharmacy
問答 (もんどう)	questions and answers	arrow 	pharmacy	ring finger
矢印 (やじるし)	arrow 	pharmacy	ring finger	to translate
薬局 (やっきょく)	pharmacy	ring finger	to translate	negligence
薬指 (くすりゆび)	ring finger	to translate	negligence	blood transfusion
訳す (やくす)	to translate	negligence	blood transfusion	brave
油断 (ゆだん)	negligence	blood transfusion	brave	grateful
輸血 (ゆけつ)	blood transfusion	brave	grateful	amusement park
勇ましい (いさましい)	brave	grateful	amusement park	evening sun
ありがたい (有り難い)	grateful	amusement park	evening sun	sudden evening shower 
遊園地 (ゆうえんち)	amusement park	evening sun	sudden evening shower 	to remain
夕日 (ゆうひ)	evening sun	sudden evening shower 	to remain	to look after
夕立 (ゆうだち)	sudden evening shower 	to remain	to look after	infancy 
余る (あまる)	to remain	to look after	infancy 	capacity
預かる (あずかる)	to look after	infancy 	capacity	to melt into
幼稚 (ようち)	infancy 	capacity	to melt into	wool
容積 (ようせき)	capacity	to melt into	wool	greed
溶け込む (とけこむ)	to melt into	wool	greed	reliable
羊毛 (ようもう)	wool	greed	reliable	failure 
欲張り (よくばり)	greed	reliable	failure 	violence
