見出し (みだし)	heading	to see someone off 	to ask after 	junior 
見送る (みおくる)	to see someone off 	to ask after 	junior 	industrial arts
見舞う (みまう)	to ask after 	junior 	industrial arts	extent
後輩 (こうはい)	junior 	industrial arts	extent	school building
工芸 (こうげい)	industrial arts	extent	school building	acidity 
広さ (ひろさ)	extent	school building	acidity 	leading a meeting
校舎 (こうしゃ)	school building	acidity 	leading a meeting	temple
酸性 (さんせい)	acidity 	leading a meeting	temple	writing 
司会 (しかい)	leading a meeting	temple	writing 	real feeling
寺院 (じいん)	temple	writing 	real feeling	before
執筆 (しっぴつ)	writing 	real feeling	before	myth
実感 (じっかん)	real feeling	before	myth	relation
手前 (てまえ)	before	myth	relation	ability
神話 (しんわ)	myth	relation	ability	youth
親類 (しんるい)	relation	ability	youth	creativity
性能 (せいのう)	ability	youth	creativity	enlargement
青少年 (せいしょうねん)	youth	creativity	enlargement	shipbuilding
創作 (そうさく)	creativity	enlargement	shipbuilding	measurement
増大 (ぞうだい)	enlargement	shipbuilding	measurement	multi-unit apartments
造船 (ぞうせん)	shipbuilding	measurement	multi-unit apartments	middle-age
