跳ねる (はねる)	to jump	strong point	rectangle	right angle
長所 (ちょうしょ)	strong point	rectangle	right angle	direct line
長方形 (ちょうほうけい)	rectangle	right angle	direct line	to pass 
直角 (ちょっかく)	right angle	direct line	to pass 	passbook
直通 (ちょくつう)	direct line	to pass 	passbook	popular use
追い越す (おいこす)	to pass 	passbook	popular use	nail 
通帳 (つうちょう)	passbook	popular use	nail 	stopping 
通用 (つうよう)	popular use	nail 	stopping 	commuter pass
爪 (つめ)	nail 	stopping 	commuter pass	measuring ruler
停車 (ていしゃ)	stopping 	commuter pass	measuring ruler	regular holiday
定期券 (ていきけん)	commuter pass	measuring ruler	regular holiday	nail 
定規 (じょうぎ)	measuring ruler	regular holiday	nail 	railway bridge
定休日 (ていきゅうび)	regular holiday	nail 	railway bridge	gun 
釘 (くぎ)	nail 	railway bridge	gun 	to roll 
鉄橋 (てっきょう)	railway bridge	gun 	to roll 	to roll
鉄砲 (てっぽう)	gun 	to roll 	to roll	to be handed down
転がす (ころがす)	to roll 	to roll	to be handed down	biography
転がる (ころがる)	to roll	to be handed down	biography	contagion
伝わる (つたわる)	to be handed down	biography	contagion	rice planting
伝記 (でんき)	biography	contagion	rice planting	light bulb
