帰す (かえす)	to send 	gas	rising	to starve
気体 (きたい)	gas	rising	to starve	to be packed 
起床 (きしょう)	rising	to starve	to be packed 	cancellation 
飢える (うえる)	to starve	to be packed 	cancellation 	rest
詰まる (つまる)	to be packed 	cancellation 	rest	saw 
休講 (きゅうこう)	cancellation 	rest	saw 	feeling obliged
休息 (きゅうそく)	rest	saw 	feeling obliged	to be taught 
のこぎり (鋸)	saw 	feeling obliged	to be taught 	buckwheat 
恐縮 (きょうしゅく)	feeling obliged	to be taught 	buckwheat 	to surprise
教わる (おそわる)	to be taught 	buckwheat 	to surprise	to bend
そば (蕎麦)	buckwheat 	to surprise	to bend	curve
驚かす (おどろかす)	to surprise	to bend	curve	to approach
曲げる (まげる)	to bend	curve	to approach	goldfish
曲線 (きょくせん)	curve	to approach	goldfish	punctuation mark
近寄る (ちかよる)	to approach	goldfish	punctuation mark	pains
金魚 (きんぎょ)	goldfish	punctuation mark	pains	empty
句読点 (くとうてん)	punctuation mark	pains	empty	daydream
苦心 (くしん)	pains	empty	daydream	even number
空っぽ (からっぽ)	empty	daydream	even number	comb
空想 (くうそう)	daydream	even number	comb	to dig
