偶数 (ぐうすう)	even number	comb	to dig	district
櫛 (くし)	comb	to dig	district	adjective
掘る (ほる)	to dig	district	adjective	honorific
郡 (ぐん)	district	adjective	honorific	practice
形容詞 (けいようし)	adjective	honorific	practice	longitude
敬語 (けいご)	honorific	practice	longitude	crevice
稽古 (けいこ)	practice	longitude	crevice	column
経度 (けいど)	longitude	crevice	column	time
隙間 (すきま)	crevice	column	time	end of the month
桁 (けた)	column	time	end of the month	to be unable to
月日 (つきひ)	time	end of the month	to be unable to	menu
月末 (げつまつ)	end of the month	to be unable to	menu	to overlook
かねる (兼ねる)	to be unable to	menu	to overlook	sample
献立 (こんだて)	menu	to overlook	sample	precipitous
見下ろす (みおろす)	to overlook	sample	precipitous	microscope
見本 (みほん)	sample	precipitous	microscope	origin
険しい (けわしい)	precipitous	microscope	origin	to begin to say
顕微鏡 (けんびきょう)	microscope	origin	to begin to say	speech
原始 (げんし)	origin	to begin to say	speech	to summon
言い出す (いいだす)	to begin to say	speech	to summon	to harden
