襖 (ふすま)	fusuma	to sell wholesale 	temperate zone	to descend
卸す (おろす)	to sell wholesale 	temperate zone	to descend	draft
温帯 (おんたい)	temperate zone	to descend	draft	drainage
下る (くだる)	to descend	draft	drainage	geta
下書き (したがき)	draft	drainage	geta	vulgar
下水 (げすい)	drainage	geta	vulgar	assumption
下駄 (げた)	geta	vulgar	assumption	at any rate
下品 (げひん)	vulgar	assumption	at any rate	some
仮定 (かてい)	assumption	at any rate	some	landlord
なにしろ (何しろ)	at any rate	some	landlord	bride
何分 (なにぶん)	some	landlord	bride	mosquito
家主 (やぬし)	landlord	bride	mosquito	answer
花嫁 (はなよめ)	bride	mosquito	answer	detour
蚊 (か)	mosquito	answer	detour	book of tickets
解答 (かいとう)	answer	detour	book of tickets	clear weather
回り道 (まわりみち)	detour	book of tickets	clear weather	dear 
回数券 (かいすうけん)	book of tickets	clear weather	dear 	another time
快晴 (かいせい)	clear weather	dear 	another time	swimming in the ocean
懐かしい (なつかしい)	dear 	another time	swimming in the ocean	paint
改めて (あらためて)	another time	swimming in the ocean	paint	opening 
