バンド	band 	building	free 	brooch
ビルディング	building	free 	brooch	monorail
フリー	free 	brooch	monorail	despotism
ブローチ	brooch	monorail	despotism	to mourn
モノレール	monorail	despotism	to mourn	to get between
専制 (せんせい)	despotism	to mourn	to get between	arable land
悔やむ (くやむ)	to mourn	to get between	arable land	subject
挟まる (はさまる)	to get between	arable land	subject	penmanship
耕地 (こうち)	arable land	subject	penmanship	to burn
主語 (しゅご)	subject	penmanship	to burn	net weight 
習字 (しゅうじ)	penmanship	to burn	net weight 	hateful
焦がす (こがす)	to burn	net weight 	hateful	tabi
正味 (しょうみ)	net weight 	hateful	tabi	speed
憎い (にくい)	hateful	tabi	speed	forte
足袋 (たび)	tabi	speed	forte	radical 
速力 (そくりょく)	speed	forte	radical 	zero 
特長 (とくちょう)	forte	radical 	zero 	walking around at night
部首 (ぶしゅ)	radical 	zero 	walking around at night	to beg
零点 (れいてん)	zero 	walking around at night	to beg	to become used to seeing
夜行 (やこう)	walking around at night	to beg	to become used to seeing	to tell 
