お辞儀 (おじぎ)	bow	unexpectedly	great	to put on airs
案外 (あんがい)	unexpectedly	great	to put on airs	malicious
えらい (偉い)	great	to put on airs	malicious	latitude 
威張る (いばる)	to put on airs	malicious	latitude 	necessities of life 
意地悪 (いじわる)	malicious	latitude 	necessities of life 	in general
緯度 (いど)	latitude 	necessities of life 	in general	to turn back
衣食住 (いしょくじゅう)	necessities of life 	in general	to turn back	to draw back
一通り (ひととおり)	in general	to turn back	to draw back	attraction 
引き返す (ひきかえす)	to turn back	to draw back	attraction 	sliding storm shutter
引っ込む (ひっこむ)	to draw back	attraction 	sliding storm shutter	canal
引力 (いんりょく)	attraction 	sliding storm shutter	canal	to be reflected
雨戸 (あまど)	sliding storm shutter	canal	to be reflected	English-Japanese 
運河 (うんが)	canal	to be reflected	English-Japanese 	chimney
映る (うつる)	to be reflected	English-Japanese 	chimney	gloss
英和 (えいわ)	English-Japanese 	chimney	gloss	excursion
煙突 (えんとつ)	chimney	gloss	excursion	to pollute
艶 (つや)	gloss	excursion	to pollute	princess
遠足 (えんそく)	excursion	to pollute	princess	fusuma
汚す (よごす)	to pollute	princess	fusuma	to sell wholesale 
王女 (おうじょ)	princess	fusuma	to sell wholesale 	temperate zone
