催し (もよおし)	event	descendant	practice 	editorial
子孫 (しそん)	descendant	practice 	editorial	weak point
実習 (じっしゅう)	practice 	editorial	weak point	juice
社説 (しゃせつ)	editorial	weak point	juice	circulation
弱点 (じゃくてん)	weak point	juice	circulation	first 10 days of the month
汁 (しる)	juice	circulation	first 10 days of the month	steam
循環 (じゅんかん)	circulation	first 10 days of the month	steam	decoration
初旬 (しょじゅん)	first 10 days of the month	steam	decoration	total darkness
蒸気 (じょうき)	steam	decoration	total darkness	hydrogen 
飾り (かざり)	decoration	total darkness	hydrogen 	water
真っ暗 (まっくら)	total darkness	hydrogen 	water	Japanese cedar 
水素 (すいそ)	hydrogen 	water	Japanese cedar 	customs
水分 (すいぶん)	water	Japanese cedar 	customs	detergent
杉 (すぎ)	Japanese cedar 	customs	detergent	complete works
税関 (ぜいかん)	customs	detergent	complete works	to compete
洗剤 (せんざい)	detergent	complete works	to compete	to belong to
全集 (ぜんしゅう)	complete works	to compete	to belong to	drum
争う (あらそう)	to compete	to belong to	drum	in the middle
属する (ぞくする)	to belong to	drum	in the middle	battery
太鼓 (たいこ)	drum	in the middle	battery	internal medicine
