鉱物 (こうぶつ)	mineral	perfume	to sit 	seat
香水 (こうすい)	perfume	to sit 	seat	resentment
腰掛ける (こしかける)	to sit 	seat	resentment	to bear a grudge against
腰掛け (こしかけ)	seat	resentment	to bear a grudge against	deduction
恨み (うらみ)	resentment	to bear a grudge against	deduction	zabuton 
恨む (うらむ)	to bear a grudge against	deduction	zabuton 	tatami room
差し引き (さしひき)	deduction	zabuton 	tatami room	pressing
座布団 (ざぶとん)	zabuton 	tatami room	pressing	calamity
座敷 (ざしき)	tatami room	pressing	calamity	sewing
催促 (さいそく)	pressing	calamity	sewing	lumber
災難 (さいなん)	calamity	sewing	lumber	manufacture
裁縫 (さいほう)	sewing	lumber	manufacture	to shave 
材木 (ざいもく)	lumber	manufacture	to shave 	deletion
作製 (さくせい)	manufacture	to shave 	deletion	index 
削る (けずる)	to shave 	deletion	index 	to print 
削除 (さくじょ)	deletion	index 	to print 	noise 
索引 (さくいん)	index 	to print 	noise 	new moon
刷る (する)	to print 	noise 	new moon	miserable
雑音 (ざつおん)	noise 	new moon	miserable	to be in disorder
三日月 (みかづき)	new moon	miserable	to be in disorder	to scatter
