仲直り (なかなおり)	reconciliation	to write	to wither 	to smash
著す (あらわす)	to write	to wither 	to smash	to be crushed
しぼむ (萎む)	to wither 	to smash	to be crushed	to hang
潰す (つぶす)	to smash	to be crushed	to hang	to hang
潰れる (つぶれる)	to be crushed	to hang	to hang	to balance
吊るす (つるす)	to hang	to hang	to balance	razor
吊る (つる)	to hang	to balance	razor	ladder 
釣り合う (つりあう)	to balance	razor	ladder 	to collect
かみそり (剃刀)	razor	ladder 	to collect	to be lit 
はしご (梯子)	ladder 	to collect	to be lit 	paddy field
まとめる (纏める)	to collect	to be lit 	paddy field	anyhow
つく (点く)	to be lit 	paddy field	anyhow	to freeze 
田んぼ (たんぼ)	paddy field	anyhow	to freeze 	to apply 
ともかく (兎も角)	anyhow	to freeze 	to apply 	to long for
凍える (こごえる)	to freeze 	to apply 	to long for	by itself
当てはまる (あてはまる)	to apply 	to long for	by itself	end 
憧れる (あこがれる)	to long for	by itself	end 	to prick
ひとりでに (独りでに)	by itself	end 	to prick	sunset
突き当たり (つきあたり)	end 	to prick	sunset	to wet
突く (つく)	to prick	sunset	to wet	to twist
