ストップ	stop	speaker	smart	slide 
スピーカー	speaker	smart	slide 	cement
スマート	smart	slide 	cement	centimeter
スライド	slide 	cement	centimeter	diamond 
セメント	cement	centimeter	diamond 	dial 
センチ	centimeter	diamond 	dial 	double 
ダイヤモンド	diamond 	dial 	double 	dam 
ダイヤル	dial 	double 	dam 	chalk 
ダブル	double 	dam 	chalk 	theme
ダム	dam 	chalk 	theme	tempo
チョーク	chalk 	theme	tempo	training
テーマ	theme	tempo	training	nylon
テンポ	tempo	training	nylon	number 
トレーニング	training	nylon	number 	necklace
ナイロン	nylon	number 	necklace	handle 
ナンバー	number 	necklace	handle 	bucket
ネックレス	necklace	handle 	bucket	back 
ハンドル	handle 	bucket	back 	balance
バケツ	bucket	back 	balance	pattern 
バック	back 	balance	pattern 	underpants
