脅かす (おどかす)	to threaten	autumn colours	urine	exhaustion
紅葉 (こうよう)	autumn colours	urine	exhaustion	bed
小便 (しょうべん)	urine	exhaustion	bed	pure white 
消耗 (しょうもう)	exhaustion	bed	pure white 	middle finger
寝台 (しんだい)	bed	pure white 	middle finger	unevenness
真っ白 (まっしろ)	pure white 	middle finger	unevenness	dull 
中指 (なかゆび)	middle finger	unevenness	dull 	to burn 
凸凹 (でこぼこ)	unevenness	dull 	to burn 	white hair
鈍い (にぶい)	dull 	to burn 	white hair	youngest child
燃やす (もやす)	to burn 	white hair	youngest child	yukata 
白髪 (しらが)	white hair	youngest child	yukata 	spoon
末っ子 (すえっこ)	youngest child	yukata 	spoon	to warm oneself
浴衣 (ゆかた)	yukata 	spoon	to warm oneself	knitting
さじ (匙)	spoon	to warm oneself	knitting	suspicious
温まる (あたたまる)	to warm oneself	knitting	suspicious	ikebana
編み物 (あみもの)	knitting	suspicious	ikebana	container
怪しい (あやしい)	suspicious	ikebana	container	garden shrubs
生け花 (いけばな)	ikebana	container	garden shrubs	to project
入れ物 (いれもの)	container	garden shrubs	to project	to calm down
植木 (うえき)	garden shrubs	to project	to calm down	lost property
