盆地 (ぼんち)	basin 	each time	pillow	to taste
毎度 (まいど)	each time	pillow	to taste	plain
枕 (まくら)	pillow	to taste	plain	noun
味わう (あじわう)	to taste	plain	noun	to order
無地 (むじ)	plain	noun	to order	dawn
名詞 (めいし)	noun	to order	dawn	superstition
命ずる (めいずる)	to order	dawn	superstition	to ring
明け方 (あけがた)	dawn	superstition	to ring	niece
迷信 (めいしん)	superstition	to ring	niece	tax exemption
鳴らす (ならす)	to ring	niece	tax exemption	to grow thickly
姪 (めい)	niece	tax exemption	to grow thickly	knitting wool
免税 (めんぜい)	tax exemption	to grow thickly	knitting wool	mark
茂る (しげる)	to grow thickly	knitting wool	mark	alarm clock 
毛糸 (けいと)	knitting wool	mark	alarm clock 	to aim at
目印 (めじるし)	mark	alarm clock 	to aim at	table of contents
目覚まし (めざまし)	alarm clock 	to aim at	table of contents	superior
目指す (めざす)	to aim at	table of contents	superior	to be conspicuous
目次 (もくじ)	table of contents	superior	to be conspicuous	mochi
目上 (めうえ)	superior	to be conspicuous	mochi	questions and answers
目立つ (めだつ)	to be conspicuous	mochi	questions and answers	arrow 
