盆地 (ぼんち)	basin 	each time	pillow	to taste
毎度 (まいど)	each time	pillow	to taste	plain
枕 (まくら)	pillow	to taste	plain	noun
味わう (あじわう)	to taste	plain	noun	to order
無地 (むじ)	plain	noun	to order	dawn
名詞 (めいし)	noun	to order	dawn	superstition
命ずる (めいずる)	to order	dawn	superstition	to ring
明け方 (あけがた)	dawn	superstition	to ring	niece
迷信 (めいしん)	superstition	to ring	niece	tax exemption
鳴らす (ならす)	to ring	niece	tax exemption	to grow thickly
姪 (めい)	niece	tax exemption	to grow thickly	knitting wool
免税 (めんぜい)	tax exemption	to grow thickly	knitting wool	mark
茂る (しげる)	to grow thickly	knitting wool	mark	alarm clock 
毛糸 (けいと)	knitting wool	mark	alarm clock 	to aim at
目印 (めじるし)	mark	alarm clock 	to aim at	table of contents
目覚まし (めざまし)	alarm clock 	to aim at	table of contents	superior
目指す (めざす)	to aim at	table of contents	superior	to be conspicuous
目次 (もくじ)	table of contents	superior	to be conspicuous	mochi
目上 (めうえ)	superior	to be conspicuous	mochi	questions and answers
目立つ (めだつ)	to be conspicuous	mochi	questions and answers	arrow 
もち (餅)	mochi	questions and answers	arrow 	pharmacy
問答 (もんどう)	questions and answers	arrow 	pharmacy	ring finger
矢印 (やじるし)	arrow 	pharmacy	ring finger	to translate
薬局 (やっきょく)	pharmacy	ring finger	to translate	negligence
薬指 (くすりゆび)	ring finger	to translate	negligence	blood transfusion
訳す (やくす)	to translate	negligence	blood transfusion	brave
油断 (ゆだん)	negligence	blood transfusion	brave	grateful
輸血 (ゆけつ)	blood transfusion	brave	grateful	amusement park
勇ましい (いさましい)	brave	grateful	amusement park	evening sun
ありがたい (有り難い)	grateful	amusement park	evening sun	sudden evening shower 
遊園地 (ゆうえんち)	amusement park	evening sun	sudden evening shower 	to remain
夕日 (ゆうひ)	evening sun	sudden evening shower 	to remain	to look after
夕立 (ゆうだち)	sudden evening shower 	to remain	to look after	infancy 
余る (あまる)	to remain	to look after	infancy 	capacity
預かる (あずかる)	to look after	infancy 	capacity	to melt into
幼稚 (ようち)	infancy 	capacity	to melt into	wool
容積 (ようせき)	capacity	to melt into	wool	greed
溶け込む (とけこむ)	to melt into	wool	greed	reliable
羊毛 (ようもう)	wool	greed	reliable	failure 
欲張り (よくばり)	greed	reliable	failure 	violence
頼もしい (たのもしい)	reliable	failure 	violence	backdoor
落第 (らくだい)	failure 	violence	backdoor	to turn inside out
乱暴 (らんぼう)	violence	backdoor	to turn inside out	to stop
裏口 (うらぐち)	backdoor	to turn inside out	to stop	care-taking
裏返す (うらがえす)	to turn inside out	to stop	care-taking	receipt 
立ち止まる (たちどまる)	to stop	care-taking	receipt 	to cool down
留守番 (るすばん)	care-taking	receipt 	to cool down	to cool 
領収 (りょうしゅう)	receipt 	to cool down	to cool 	yearned for
冷める (さめる)	to cool down	to cool 	yearned for	to discuss
冷やす (ひやす)	to cool 	yearned for	to discuss	Japanese-English
恋しい (こいしい)	yearned for	to discuss	Japanese-English	Japanese clothes
論ずる (ろんずる)	to discuss	Japanese-English	Japanese clothes	bowl 
和英 (わえい)	Japanese-English	Japanese clothes	bowl 	porcelain bowl 
和服 (わふく)	Japanese clothes	bowl 	porcelain bowl 	vague
椀 (わん)	bowl 	porcelain bowl 	vague	joke
丼 (どんぶり)	porcelain bowl 	vague	joke	eyelid
曖昧 (あいまい)	vague	joke	eyelid	burn
洒落 (しゃれ)	joke	eyelid	burn	to threaten
まぶた (瞼)	eyelid	burn	to threaten	autumn colours
やけど (火傷)	burn	to threaten	autumn colours	urine
脅かす (おどかす)	to threaten	autumn colours	urine	exhaustion
紅葉 (こうよう)	autumn colours	urine	exhaustion	bed
小便 (しょうべん)	urine	exhaustion	bed	pure white 
消耗 (しょうもう)	exhaustion	bed	pure white 	middle finger
寝台 (しんだい)	bed	pure white 	middle finger	unevenness
真っ白 (まっしろ)	pure white 	middle finger	unevenness	dull 
中指 (なかゆび)	middle finger	unevenness	dull 	to burn 
凸凹 (でこぼこ)	unevenness	dull 	to burn 	white hair
鈍い (にぶい)	dull 	to burn 	white hair	youngest child
燃やす (もやす)	to burn 	white hair	youngest child	yukata 
白髪 (しらが)	white hair	youngest child	yukata 	spoon
末っ子 (すえっこ)	youngest child	yukata 	spoon	to warm oneself
浴衣 (ゆかた)	yukata 	spoon	to warm oneself	knitting
さじ (匙)	spoon	to warm oneself	knitting	suspicious
温まる (あたたまる)	to warm oneself	knitting	suspicious	ikebana
編み物 (あみもの)	knitting	suspicious	ikebana	container
怪しい (あやしい)	suspicious	ikebana	container	garden shrubs
生け花 (いけばな)	ikebana	container	garden shrubs	to project
入れ物 (いれもの)	container	garden shrubs	to project	to calm down
植木 (うえき)	garden shrubs	to project	to calm down	lost property
映す (うつす)	to project	to calm down	lost property	to think of
落ち着く (おちつく)	to calm down	lost property	to think of	to lean 
落とし物 (おとしもの)	lost property	to think of	to lean 	to succeed
思いつく (おもいつく)	to think of	to lean 	to succeed	toast
偏る (かたよる)	to lean 	to succeed	toast	famine
替わる (かわる)	to succeed	toast	famine	to demarcate
乾杯 (かんぱい)	toast	famine	to demarcate	vexing
飢饉 (ききん)	famine	to demarcate	vexing	fluorescent lamp
区切る (くぎる)	to demarcate	vexing	fluorescent lamp	hindrance
悔しい (くやしい)	vexing	fluorescent lamp	hindrance	rust
蛍光灯 (けいこうとう)	fluorescent lamp	hindrance	rust	to become quiet
差し支え (さしつかえ)	hindrance	rust	to become quiet	to close up
錆 (さび)	rust	to become quiet	to close up	wick
静まる (しずまる)	to become quiet	to close up	wick	noisy
締め切る (しめきる)	to close up	wick	noisy	to store
芯 (しん)	wick	noisy	to store	to be erected
騒々しい (そうぞうしい)	noisy	to store	to be erected	to compare 
蓄える (たくわえる)	to store	to be erected	to compare 	steadily
建つ (たつ)	to be erected	to compare 	steadily	to associate with
例える (たとえる)	to compare 	steadily	to associate with	exit and entrance
着々 (ちゃくちゃく)	steadily	to associate with	exit and entrance	here and there
付き合う (つきあう)	to associate with	exit and entrance	here and there	to jump in
出入り口 (でいりぐち)	exit and entrance	here and there	to jump in	to adopt 
所々 (ところどころ)	here and there	to jump in	to adopt 	to imitate
飛び込む (とびこむ)	to jump in	to adopt 	to imitate	to hold between
採る (とる)	to adopt 	to imitate	to hold between	dental brushing
ならう (倣う)	to imitate	to hold between	dental brushing	crying "banzai" 
挟む (はさむ)	to hold between	dental brushing	crying "banzai" 	exposure to the sun
歯磨き (はみがき)	dental brushing	crying "banzai" 	exposure to the sun	to take on
万歳 (ばんざい)	crying "banzai" 	exposure to the sun	to take on	encyclopedia
日当たり (ひあたり)	exposure to the sun	to take on	encyclopedia	to increase
引き受ける (ひきうける)	to take on	encyclopedia	to increase	to behave
百科事典 (ひゃっかじてん)	encyclopedia	to increase	to behave	bandage
増やす (ふやす)	to increase	to behave	bandage	to air
振る舞う (ふるまう)	to behave	bandage	to air	son 
包帯 (ほうたい)	bandage	to air	son 	to be mixed
干す (ほす)	to air	son 	to be mixed	to be mixed
坊ちゃん (ぼっちゃん)	son 	to be mixed	to be mixed	deep blue
混ざる (まざる)	to be mixed	to be mixed	deep blue	rare
混じる (まじる)	to be mixed	deep blue	rare	outward appearance 
真っ青 (まっさお)	deep blue	rare	outward appearance 	surname
まれ (稀)	rare	outward appearance 	surname	originally
見かけ (みかけ)	outward appearance 	surname	originally	quiet
名字 (みょうじ)	surname	originally	quiet	youthful
もともと (元々)	originally	quiet	youthful	to hate
悠々 (ゆうゆう)	quiet	youthful	to hate	to deny
若々しい (わかわかしい)	youthful	to hate	to deny	to answer
嫌がる (いやがる)	to hate	to deny	to answer	to feel
打ち消す (うちけす)	to deny	to answer	to feel	salty 
応ずる (おうずる)	to answer	to feel	salty 	unexpected
感ずる (かんずる)	to feel	salty 	unexpected	to be prolonged
塩辛い (しおからい)	salty 	unexpected	to be prolonged	all
思いがけない (おもいがけない)	unexpected	to be prolonged	all	the number of days
長引く (ながびく)	to be prolonged	all	the number of days	foot 
残らず (のこらず)	all	the number of days	foot 	cape 
日日 (ひにち)	the number of days	foot 	cape 	itinerary
ふもと (麓)	foot 	cape 	itinerary	I'm sorry
岬 (みさき)	cape 	itinerary	I'm sorry	underground water
道順 (みちじゅん)	itinerary	I'm sorry	underground water	each 
申し訳ない (もうしわけない)	I'm sorry	underground water	each 	smartly dressed
地下水 (ちかすい)	underground water	each 	smartly dressed	etc.
各々 (おのおの)	each 	smartly dressed	etc.	idea
おしゃれ (御洒落)	smartly dressed	etc.	idea	accent 
その他 (そのほか)	etc.	idea	accent 	antenna 
アイデア	idea	accent 	antenna 	interview 
アクセント	accent 	antenna 	interview 	wool
アンテナ	antenna 	interview 	wool	politeness
インタビュー	interview 	wool	politeness	orchestra
ウール	wool	politeness	orchestra	automation
エチケット	politeness	orchestra	automation	organ 
オーケストラ	orchestra	automation	organ 	curve
オートメーション	automation	organ 	curve	cassette 
オルガン	organ 	curve	cassette 	cover
カーブ	curve	cassette 	cover	collar 
カセット	cassette 	cover	collar 	calorie
カバー	cover	collar 	calorie	campus
カラー	collar 	calorie	campus	cooler
カロリー	calorie	campus	cooler	cleaning
キャンパス	campus	cooler	cleaning	course 
クーラー	cooler	cleaning	course 	cook
クリーニング	cleaning	course 	cook	competition
コース	course 	cook	competition	concrete
コック	cook	competition	concrete	electrical outlet
コンクール	competition	concrete	electrical outlet	gum
こんくりいと (混凝土)	concrete	electrical outlet	gum	group with a common interest 
コンセント	electrical outlet	gum	group with a common interest 	siren
ゴム (護謨)	gum	group with a common interest 	siren	office worker
サークル	group with a common interest 	siren	office worker	season 
サイレン	siren	office worker	season 	sheet
サラリーマン	office worker	season 	sheet	camera shutter 
シーズン	season 	sheet	camera shutter 	series
シーツ	sheet	camera shutter 	series	journalist
シャッター	camera shutter 	series	journalist	school
シリーズ	series	journalist	school	schedule
ジャーナリスト	journalist	school	schedule	start
スクール	school	schedule	start	stewardess
スケジュール	schedule	start	stewardess	stage 
スタート	start	stewardess	stage 	stop
スチュワーデス	stewardess	stage 	stop	speaker
ステージ	stage 	stop	speaker	smart
ストップ	stop	speaker	smart	slide 
スピーカー	speaker	smart	slide 	cement
スマート	smart	slide 	cement	centimeter
スライド	slide 	cement	centimeter	diamond 
セメント	cement	centimeter	diamond 	dial 
センチ	centimeter	diamond 	dial 	double 
ダイヤモンド	diamond 	dial 	double 	dam 
ダイヤル	dial 	double 	dam 	chalk 
ダブル	double 	dam 	chalk 	theme
ダム	dam 	chalk 	theme	tempo
チョーク	chalk 	theme	tempo	training
テーマ	theme	tempo	training	nylon
テンポ	tempo	training	nylon	number 
トレーニング	training	nylon	number 	necklace
ナイロン	nylon	number 	necklace	handle 
ナンバー	number 	necklace	handle 	bucket
ネックレス	necklace	handle 	bucket	back 
ハンドル	handle 	bucket	back 	balance
バケツ	bucket	back 	balance	pattern 
バック	back 	balance	pattern 	underpants
バランス	balance	pattern 	underpants	vitamin
パターン	pattern 	underpants	vitamin	vinyl 
パンツ	underpants	vitamin	vinyl 	pistol
ビタミン	vitamin	vinyl 	pistol	pink 
ビニール	vinyl 	pistol	pink 	fastener
ピストル	pistol	pink 	fastener	fry pan
ピンク	pink 	fastener	fry pan	blouse
ファスナー	fastener	fry pan	blouse	plastic
フライパン	fry pan	blouse	plastic	platform
ブラウス	blouse	plastic	platform	print
プラスチック	plastic	platform	print	program
プラットホーム	platform	print	program	helicopter
プリント	print	program	helicopter	person with a lot of experience
プログラム	program	helicopter	person with a lot of experience	bonus
ヘリコプター	helicopter	person with a lot of experience	bonus	poster
ベテラン	person with a lot of experience	bonus	poster	minus
ボーナス	bonus	poster	minus	face mask 
ポスター	poster	minus	face mask 	muffler
マイナス	minus	face mask 	muffler	marathon
マスク	face mask 	muffler	marathon	condominium 
マフラー	muffler	marathon	condominium 	sewing machine
マラソン	marathon	condominium 	sewing machine	milli-
マンション	condominium 	sewing machine	milli-	meter
ミシン	sewing machine	milli-	meter	menu 
ミリ	milli-	meter	menu 	motor
メーター	meter	menu 	motor	modern
メニュー	menu 	motor	modern	model
モーター	motor	modern	model	rush hour
モダン	modern	model	rush hour	lunch 
モデル	model	rush hour	lunch 	running 
ラッシュアワー	rush hour	lunch 	running 	rhythm
ランチ	lunch 	running 	rhythm	litre
ランニング	running 	rhythm	litre	ribbon
リズム	rhythm	litre	ribbon	leisure
リットル	litre	ribbon	leisure	level
リボン	ribbon	leisure	level	lens
レジャー	leisure	level	lens	locker 
レベル	level	lens	locker 	lobby
レンズ	lens	locker 	lobby	dress
ロッカー	locker 	lobby	dress	before one knows
ロビー	lobby	dress	before one knows	song
ワンピース	dress	before one knows	song	I'm fine thank you
いつの間にか (いつのまにか)	before one knows	song	I'm fine thank you	thank you 
歌謡 (かよう)	song	I'm fine thank you	thank you 	not writing or contacting for a while
おかげさまで (お蔭様で)	I'm fine thank you	thank you 	not writing or contacting for a while	please try to 
ごちそうさま (ご馳走さま)	thank you 	not writing or contacting for a while	please try to 	confluence 
ご無沙汰 (ごぶさた)	not writing or contacting for a while	please try to 	confluence 	to kill 
ごらん (ご覧)	please try to 	confluence 	to kill 	first
合流 (ごうりゅう)	confluence 	to kill 	first	human life
斬る (きる)	to kill 	first	human life	some time ago
初めに (はじめに)	first	human life	some time ago	postage
人命 (じんめい)	human life	some time ago	postage	ellipse
先ほど (さきほど)	some time ago	postage	ellipse	abstraction
送料 (そうりょう)	postage	ellipse	abstraction	to be careful
楕円 (だえん)	ellipse	abstraction	to be careful	to step aside
抽象 (ちゅうしょう)	abstraction	to be careful	to step aside	carpet
気をつける (きをつける)	to be careful	to step aside	carpet	sigh
どく (退く)	to step aside	carpet	sigh	carefree
絨毯 (じゅうたん)	carpet	sigh	carefree	to chase
ため息 (ためいき)	sigh	carefree	to chase	brush 
のんき (暢気)	carefree	to chase	brush 	moving from place to place
追いかける (おいかける)	to chase	brush 	moving from place to place	carelessly
ブラシ	brush 	moving from place to place	carelessly	loiteringly
転々 (てんてん)	moving from place to place	carelessly	loiteringly	maid
うっかり	carelessly	loiteringly	maid	certainly!
うろうろ	loiteringly	maid	certainly!	tightly 
お手伝いさん (おてつだいさん)	maid	certainly!	tightly 	sneeze 
かしこまりました (畏まりました)	certainly!	tightly 	sneeze 	to get tired
ぎっしり	tightly 	sneeze 	to get tired	to adhere to
くしゃみ (嚏)	sneeze 	to get tired	to adhere to	to attach
くたびれる (草臥れる)	to get tired	to adhere to	to attach	stealthily
くっつく (くっ付く)	to adhere to	to attach	stealthily	promptly
くっつける (くっ付ける)	to attach	stealthily	promptly	insistent
こっそり	stealthily	promptly	insistent	to squat
さっさ	promptly	insistent	to squat	hiccough
しつこい (執拗い)	insistent	to squat	hiccough	refreshingly
しゃがむ	to squat	hiccough	refreshingly	to shift
しゃっくり (吃逆)	hiccough	refreshingly	to shift	careless
すっきり	refreshingly	to shift	careless	softly
ずらす (滑らす)	to shift	careless	softly	in addition
そそっかしい	careless	softly	in addition	slovenly 
そっと	softly	in addition	slovenly 	anyhow
その上 (そのうえ)	in addition	slovenly 	anyhow	thump-thump
だらしない (だらし無い)	slovenly 	anyhow	thump-thump	slowly
どうせ	anyhow	thump-thump	slowly	with a glitter
ドキドキ	thump-thump	slowly	with a glitter	to strike against
のろのろ	slowly	with a glitter	to strike against	grunt
ピカピカ	with a glitter	to strike against	grunt	to hang
ぶつかる (打つかる)	to strike against	grunt	to hang	so-so
ぶつぶつ	grunt	to hang	so-so	confused
ぶら下げる (ぶらさげる)	to hang	so-so	confused	remarkably
まあまあ	so-so	confused	remarkably	perhaps
まごまご	confused	remarkably	perhaps	perhaps
めっきり	remarkably	perhaps	perhaps	too
もしかしたら (若しかしたら)	perhaps	perhaps	too	to send
もしかすると (若しかすると)	perhaps	too	to send	with a friendly grin
やっぱり (矢っ張り)	too	to send	with a friendly grin	spring 
よこす (寄越す)	to send	with a friendly grin	spring 	lightly 
ニコニコ	with a friendly grin	spring 	lightly 	cutting pliers
ばね (発条)	spring 	lightly 	cutting pliers	raincoat
フワフワ	lightly 	cutting pliers	raincoat	recreation 
ペンチ	cutting pliers	raincoat	recreation 	romaji
レインコート	raincoat	recreation 	romaji	to comfort
レクリエーション	recreation 	romaji	to comfort	short rest
ローマ字 (ローマじ)	romaji	to comfort	short rest	once 
慰める (なぐさめる)	to comfort	short rest	once 	to overflow
一休み (ひとやすみ)	short rest	once 	to overflow	to be due to
いったん (一旦)	once 	to overflow	to be due to	to be overturned
あふれる (溢れる)	to overflow	to be due to	to be overturned	circumference
よる (因る)	to be due to	to be overturned	circumference	smoky
ひっくり返る (ひっくりかえる)	to be overturned	circumference	smoky	to be dented
円周 (えんしゅう)	circumference	smoky	to be dented	good-for-nothing
煙い (けむい)	smoky	to be dented	good-for-nothing	kana orthography
凹む (へこむ)	to be dented	good-for-nothing	kana orthography	to love
くだらない (下らない)	good-for-nothing	kana orthography	to love	to undo
仮名遣い (かなづかい)	kana orthography	to love	to undo	every place
可愛がる (かわいがる)	to love	to undo	every place	to tear
ほどく (解く)	to undo	every place	to tear	parentheses
各地 (かくち)	every place	to tear	parentheses	to be thirsty
裂く (さく)	to tear	parentheses	to be thirsty	to wind
かっこ (括弧)	parentheses	to be thirsty	to wind	noisy
渇く (かわく)	to be thirsty	to wind	noisy	China and Japan 
巻く (まく)	to wind	noisy	China and Japan 	to include 
やかましい (喧しい)	noisy	China and Japan 	to include 	on the contrary
漢和 (かんわ)	China and Japan 	to include 	on the contrary	drawing room
含める (ふくめる)	to include 	on the contrary	drawing room	to draw 
かえって (却って)	on the contrary	drawing room	to draw 	to resound
客間 (きゃくま)	drawing room	to draw 	to resound	waste
汲む (くむ)	to draw 	to resound	waste	to show respect for
響く (ひびく)	to resound	waste	to show respect for	connection
くず (屑)	waste	to show respect for	connection	to be tied together
敬う (うやまう)	to show respect for	connection	to be tied together	yawn
つながり (繋がり)	connection	to be tied together	yawn	shameful
つながる (繋がる)	to be tied together	yawn	shameful	modesty
あくび (欠伸)	yawn	shameful	modesty	pepper
みっともない (見っともない)	shameful	modesty	pepper	to step over
謙遜 (けんそん)	modesty	pepper	to step over	sincerely
こしょう (胡椒)	pepper	to step over	sincerely	and Company
またぐ (跨ぐ)	to step over	sincerely	and Company	your pardon
くれぐれも (呉れ呉れも)	sincerely	and Company	your pardon	may I come in
御中 (おんちゅう)	and Company	your pardon	may I come in	impudent
ごめん (御免)	your pardon	may I come in	impudent	in an instant
ごめんください (ご免ください)	may I come in	impudent	in an instant	good evening
厚かましい (あつかましい)	impudent	in an instant	good evening	farewell
たちまち (忽ち)	in an instant	good evening	farewell	to break
こんばんは (今晩は)	good evening	farewell	to break	to break 
さようなら (左様なら)	farewell	to break	to break 	national holiday
砕く (くだく)	to break	to break 	national holiday	to rub
砕ける (くだける)	to break 	national holiday	to rub	house-cloth
祭日 (さいじつ)	national holiday	to rub	house-cloth	to rust
こする (擦る)	to rub	house-cloth	to rust	to scatter
雑巾 (ぞうきん)	house-cloth	to rust	to scatter	to scatter around
錆びる (さびる)	to rust	to scatter	to scatter around	four corners 
まく (撒く)	to scatter	to scatter around	four corners 	long ago
散らかす (ちらかす)	to scatter around	four corners 	long ago	to shine
四つ角 (よつかど)	four corners 	long ago	to shine	to be boiled
とっくに (疾っくに)	long ago	to shine	to be boiled	to harvest
射す (さす)	to shine	to be boiled	to harvest	to kick 
煮える (にえる)	to be boiled	to harvest	to kick 	heavy
取り入れる (とりいれる)	to harvest	to kick 	heavy	to shorten
蹴る (ける)	to kick 	heavy	to shorten	to be wavy
重たい (おもたい)	heavy	to shorten	to be wavy	to meet
縮める (ちぢめる)	to shorten	to be wavy	to meet	nonsense
縮れる (ちぢれる)	to be wavy	to meet	nonsense	fraction 
出迎える (でむかえる)	to meet	nonsense	fraction 	fire station
でたらめ (出鱈目)	nonsense	fraction 	fire station	to fold 
小数 (しょうすう)	fraction 	fire station	to fold 	to wipe
消防署 (しょうぼうしょ)	fire station	to fold 	to wipe	tail 
たたむ (畳む)	to fold 	to wipe	tail 	furigana
拭く (ふく)	to wipe	tail 	furigana	to mimic
しっぽ (尻尾)	tail 	furigana	to mimic	earthenware
ふりがな (振り仮名)	furigana	to mimic	earthenware	integer
真似る (まねる)	to mimic	earthenware	integer	clean copy
瀬戸物 (せともの)	earthenware	integer	clean copy	to grow
整数 (せいすう)	integer	clean copy	to grow	to produce
清書 (せいしょ)	clean copy	to grow	to produce	constantly
生える (はえる)	to grow	to produce	constantly	to tear to pieces
生ずる (しょうずる)	to produce	constantly	to tear to pieces	to taper to a point
絶えず (たえず)	constantly	to tear to pieces	to taper to a point	envious 
ちぎる (千切る)	to tear to pieces	to taper to a point	envious 	finally
尖る (とがる)	to taper to a point	envious 	finally	to go upstream 
うらやましい (羨ましい)	envious 	finally	to go upstream 	fresh
ようやく (漸く)	finally	to go upstream 	fresh	to sweep
さかのぼる (遡る)	to go upstream 	fresh	to sweep	to scratch 
さわやか (爽やか)	fresh	to sweep	to scratch 	kana written after a kanji to complete the full 
掃く (はく)	to sweep	to scratch 	kana written after a kanji to complete the full 	odious
かく (掻く)	to scratch 	kana written after a kanji to complete the full 	odious	to be complete
送り仮名 (おくりがな)	kana written after a kanji to complete the full 	odious	to be complete	to collect
憎らしい (にくらしい)	odious	to be complete	to collect	waiting room
揃う (そろう)	to be complete	to collect	waiting room	to put something out of the way
揃える (そろえる)	to collect	waiting room	to put something out of the way	not so much
待合室 (まちあいしつ)	waiting room	to put something out of the way	not so much	obedient
退ける (のける)	to put something out of the way	not so much	obedient	very
たいして (大して)	not so much	obedient	very	first
おとなしい (大人しい)	obedient	very	first	but
たいそう (大層)	very	first	but	singular number
第一 (だいいち)	first	but	singular number	fresh water 
ただし (但し)	but	singular number	fresh water 	reconciliation
単数 (たんすう)	singular number	fresh water 	reconciliation	to write
淡水 (たんすい)	fresh water 	reconciliation	to write	to wither 
仲直り (なかなおり)	reconciliation	to write	to wither 	to smash
著す (あらわす)	to write	to wither 	to smash	to be crushed
しぼむ (萎む)	to wither 	to smash	to be crushed	to hang
潰す (つぶす)	to smash	to be crushed	to hang	to hang
潰れる (つぶれる)	to be crushed	to hang	to hang	to balance
吊るす (つるす)	to hang	to hang	to balance	razor
吊る (つる)	to hang	to balance	razor	ladder 
釣り合う (つりあう)	to balance	razor	ladder 	to collect
かみそり (剃刀)	razor	ladder 	to collect	to be lit 
はしご (梯子)	ladder 	to collect	to be lit 	paddy field
まとめる (纏める)	to collect	to be lit 	paddy field	anyhow
つく (点く)	to be lit 	paddy field	anyhow	to freeze 
田んぼ (たんぼ)	paddy field	anyhow	to freeze 	to apply 
ともかく (兎も角)	anyhow	to freeze 	to apply 	to long for
凍える (こごえる)	to freeze 	to apply 	to long for	by itself
当てはまる (あてはまる)	to apply 	to long for	by itself	end 
憧れる (あこがれる)	to long for	by itself	end 	to prick
ひとりでに (独りでに)	by itself	end 	to prick	sunset
突き当たり (つきあたり)	end 	to prick	sunset	to wet
突く (つく)	to prick	sunset	to wet	to twist
日の入り (ひのいり)	sunset	to wet	to twist	to peek 
濡らす (ぬらす)	to wet	to twist	to peek 	to get torn
ひねる (捻る)	to twist	to peek 	to get torn	sold-out
覗く (のぞく)	to peek 	to get torn	sold-out	to be sold out
破れる (やぶれる)	to get torn	sold-out	to be sold out	to creep
売り切れ (うりきれ)	sold-out	to be sold out	to creep	scales
売り切れる (うりきれる)	to be sold out	to creep	scales	to peel
這う (はう)	to creep	scales	to peel	seal 
秤 (はかり)	scales	to peel	seal 	to cover 
むく (剥く)	to peel	seal 	to cover 	elbow
はんこ (判子)	seal 	to cover 	elbow	necessities
かぶせる (被せる)	to cover 	elbow	necessities	to spread out
