測定 (そくてい)	measurement	multi-unit apartments	middle-age	top
団地 (だんち)	multi-unit apartments	middle-age	top	South America
中年 (ちゅうねん)	middle-age	top	South America	concentration
頂点 (ちょうてん)	top	South America	concentration	showy
南米 (なんべい)	South America	concentration	showy	skin
濃度 (のうど)	concentration	showy	skin	criticism
派手 (はで)	showy	skin	criticism	holiday house
皮膚 (ひふ)	skin	criticism	holiday house	to collapse
評論 (ひょうろん)	criticism	holiday house	to collapse	tray 
別荘 (べっそう)	holiday house	to collapse	tray 	criterion
崩れる (くずれる)	to collapse	tray 	criterion	government official
盆 (ぼん)	tray 	criterion	government official	evening paper
目安 (めやす)	criterion	government official	evening paper	advantages and disadvantages
役人 (やくにん)	government official	evening paper	advantages and disadvantages	to pin down
夕刊 (ゆうかん)	evening paper	advantages and disadvantages	to pin down	lending
利害 (りがい)	advantages and disadvantages	to pin down	lending	dwelling
押さえる (おさえる)	to pin down	lending	dwelling	successively
貸し出し (かしだし)	lending	dwelling	successively	aquatic products
住まい (すまい)	dwelling	successively	aquatic products	water well
続々 (ぞくぞく)	successively	aquatic products	water well	more or less
