風船 (ふうせん)	balloon 	classification	soldier	dialect
分類 (ぶんるい)	classification	soldier	dialect	infinity
兵隊 (へいたい)	soldier	dialect	infinity	fur
方言 (ほうげん)	dialect	infinity	fur	to dissolve 
無限 (むげん)	infinity	fur	to dissolve 	powerful
毛皮 (けがわ)	fur	to dissolve 	powerful	to address 
溶かす (とかす)	to dissolve 	powerful	to address 	warrior
力強い (ちからづよい)	powerful	to address 	warrior	both sides
話しかける (はなしかける)	to address 	warrior	both sides	registered mail
武士 (ぶし)	warrior	both sides	registered mail	short 
両側 (りょうがわ)	both sides	registered mail	short 	hand towel
書留 (かきとめ)	registered mail	short 	hand towel	to be ready
短編 (たんぺん)	short 	hand towel	to be ready	roadside tree
手ぬぐい (てぬぐい)	hand towel	to be ready	roadside tree	transfer 
整う (ととのう)	to be ready	roadside tree	transfer 	sunlight
並木 (なみき)	roadside tree	transfer 	sunlight	to be resurrected
乗り換え (のりかえ)	transfer 	sunlight	to be resurrected	visit 
日差し (ひざし)	sunlight	to be resurrected	visit 	bow
蘇る (よみがえる)	to be resurrected	visit 	bow	unexpectedly
お参り (おまいり)	visit 	bow	unexpectedly	great
