瓶詰め (びんづめ)	bottling	misfortune	irregularity	unclean
不運 (ふうん)	misfortune	irregularity	unclean	suspension
不規則 (ふきそく)	irregularity	unclean	suspension	to float
不潔 (ふけつ)	unclean	suspension	to float	to float
不通 (ふつう)	suspension	to float	to float	sign
浮かべる (うかべる)	to float	to float	sign	copying
浮かぶ (うかぶ)	to float	sign	copying	to deposit
符号 (ふごう)	sign	copying	to deposit	to repay
複写 (ふくしゃ)	copying	to deposit	to repay	ruler
払い込む (はらいこむ)	to deposit	to repay	ruler	dangerous
払い戻す (はらいもどす)	to repay	ruler	dangerous	storage room
物指 (ものさし)	ruler	dangerous	storage room	disassembly
物騒 (ぶっそう)	dangerous	storage room	disassembly	amount
物置 (ものおき)	storage room	disassembly	amount	water fountain
分解 (ぶんかい)	disassembly	amount	water fountain	literary style
分量 (ぶんりょう)	amount	water fountain	literary style	stationery
噴水 (ふんすい)	water fountain	literary style	stationery	context
文体 (ぶんたい)	literary style	stationery	context	hiragana
文房具 (ぶんぼうぐ)	stationery	context	hiragana	coolness
文脈 (ぶんみゃく)	context	hiragana	coolness	ordinary
