フワフワ	lightly 	cutting pliers	raincoat	recreation 
ペンチ	cutting pliers	raincoat	recreation 	romaji
レインコート	raincoat	recreation 	romaji	to comfort
レクリエーション	recreation 	romaji	to comfort	short rest
ローマ字 (ローマじ)	romaji	to comfort	short rest	once 
慰める (なぐさめる)	to comfort	short rest	once 	to overflow
一休み (ひとやすみ)	short rest	once 	to overflow	to be due to
いったん (一旦)	once 	to overflow	to be due to	to be overturned
あふれる (溢れる)	to overflow	to be due to	to be overturned	circumference
よる (因る)	to be due to	to be overturned	circumference	smoky
ひっくり返る (ひっくりかえる)	to be overturned	circumference	smoky	to be dented
円周 (えんしゅう)	circumference	smoky	to be dented	good-for-nothing
煙い (けむい)	smoky	to be dented	good-for-nothing	kana orthography
凹む (へこむ)	to be dented	good-for-nothing	kana orthography	to love
くだらない (下らない)	good-for-nothing	kana orthography	to love	to undo
仮名遣い (かなづかい)	kana orthography	to love	to undo	every place
可愛がる (かわいがる)	to love	to undo	every place	to tear
ほどく (解く)	to undo	every place	to tear	parentheses
各地 (かくち)	every place	to tear	parentheses	to be thirsty
裂く (さく)	to tear	parentheses	to be thirsty	to wind
