ロビー	lobby	dress	before one knows	song
ワンピース	dress	before one knows	song	I'm fine thank you
いつの間にか (いつのまにか)	before one knows	song	I'm fine thank you	thank you 
歌謡 (かよう)	song	I'm fine thank you	thank you 	not writing or contacting for a while
おかげさまで (お蔭様で)	I'm fine thank you	thank you 	not writing or contacting for a while	please try to 
ごちそうさま (ご馳走さま)	thank you 	not writing or contacting for a while	please try to 	confluence 
ご無沙汰 (ごぶさた)	not writing or contacting for a while	please try to 	confluence 	to kill 
ごらん (ご覧)	please try to 	confluence 	to kill 	first
合流 (ごうりゅう)	confluence 	to kill 	first	human life
斬る (きる)	to kill 	first	human life	some time ago
初めに (はじめに)	first	human life	some time ago	postage
人命 (じんめい)	human life	some time ago	postage	ellipse
先ほど (さきほど)	some time ago	postage	ellipse	abstraction
送料 (そうりょう)	postage	ellipse	abstraction	to be careful
楕円 (だえん)	ellipse	abstraction	to be careful	to step aside
抽象 (ちゅうしょう)	abstraction	to be careful	to step aside	carpet
気をつける (きをつける)	to be careful	to step aside	carpet	sigh
どく (退く)	to step aside	carpet	sigh	carefree
絨毯 (じゅうたん)	carpet	sigh	carefree	to chase
ため息 (ためいき)	sigh	carefree	to chase	brush 
