地下水 (ちかすい)	underground water	each 	smartly dressed	etc.
各々 (おのおの)	each 	smartly dressed	etc.	idea
おしゃれ (御洒落)	smartly dressed	etc.	idea	accent 
その他 (そのほか)	etc.	idea	accent 	antenna 
アイデア	idea	accent 	antenna 	interview 
アクセント	accent 	antenna 	interview 	wool
アンテナ	antenna 	interview 	wool	politeness
インタビュー	interview 	wool	politeness	orchestra
ウール	wool	politeness	orchestra	automation
エチケット	politeness	orchestra	automation	organ 
オーケストラ	orchestra	automation	organ 	curve
オートメーション	automation	organ 	curve	cassette 
オルガン	organ 	curve	cassette 	cover
カーブ	curve	cassette 	cover	collar 
カセット	cassette 	cover	collar 	calorie
カバー	cover	collar 	calorie	campus
カラー	collar 	calorie	campus	cooler
カロリー	calorie	campus	cooler	cleaning
キャンパス	campus	cooler	cleaning	course 
クーラー	cooler	cleaning	course 	cook
