海水浴 (かいすいよく)	swimming in the ocean	paint	opening 	to be disconnected
絵の具 (えのぐ)	paint	opening 	to be disconnected	introduction
開通 (かいつう)	opening 	to be disconnected	introduction	cover
外れる (はずれる)	to be disconnected	introduction	cover	each 
概論 (がいろん)	introduction	cover	each 	particular
ふた (蓋)	cover	each 	particular	to separate 
各自 (かくじ)	each 	particular	to separate 	iron pot
格別 (かくべつ)	particular	to separate 	iron pot	to dry 
隔てる (へだてる)	to separate 	iron pot	to dry 	dry cell
釜 (かま)	iron pot	to dry 	dry cell	misunderstanding
乾かす (かわかす)	to dry 	dry cell	misunderstanding	ventilation
乾電池 (かんでんち)	dry cell	misunderstanding	ventilation	to pamper
勘違い (かんちがい)	misunderstanding	ventilation	to pamper	nursing 
換気 (かんき)	ventilation	to pamper	nursing 	loose 
甘やかす (あまやかす)	to pamper	nursing 	loose 	idea
看病 (かんびょう)	nursing 	loose 	idea	somewhat
緩い (ゆるい)	loose 	idea	somewhat	locomotive
観念 (かんねん)	idea	somewhat	locomotive	to send 
幾分 (いくぶん)	somewhat	locomotive	to send 	gas
機関車 (きかんしゃ)	locomotive	to send 	gas	rising
