四面[楚歌]	比喻四面受敵，孤立無援。
奇貨[可居]	比喻利用某種專長或有價值的東西以謀利。
刻舟[求劍]	比喻拘泥固執，不知變通。貶義。
走馬[看花]	比喻粗略、匆促地觀看，不能仔細深入。
後來[居上]	形容後來的人或事物超越原領先者。褒義。
負荊[請罪]	背著荊條，前往對方居所自請責罰。 ＆比喻主動向對方承認錯誤，請求責罰和原諒。
對牛[彈琴]	比喻講話、做事不看對象。＆比喻對不懂道理的人講道理。
一鼓[作氣]	比喻做事時要趁著初起時的勇氣去做才容易成功。
杯弓[蛇影]	比喻為不存在的事情枉自驚疑恐懼。
紙上[談兵]	比喻不切實際的議論。貶義。
破鏡[重圓]	比喻夫妻離散或情感決裂後重新團圓合好。
東山[再起]	比喻官員退隱後，再度出任官職。＆比喻失敗後重新崛起。
樂不[思蜀]	比喻人因留戀異地而不想返回故鄉。＆形容快樂得忘了歸去。
濫竽[充數]	比喻沒有真才實學的人，混在行家中充數。貶義。＆比喻拿不好的東西充場面。貶義。＆作為自謙之詞，比喻自己才德不足。
打草[驚蛇]	擊打草叢以嚇走蛇。＆比喻行事不密，致使對方有所警覺，而預先防備。
揠苗[助長]	比喻為用不當的手段以求速成，結果不但無益，反而有害。貶義。
功虧[一簣]	比喻事情只差最後一步，卻因未能堅持到底而前功盡棄。
入木[三分]	形容筆力遒勁。＆比喻評論深刻中肯或描寫生動逼真。褒義。
一鳴[驚人]	比喻平時默默無聞，而後卻突然有驚人的表現。
螳臂[當車]	比喻不自量力。
