目光[如豆]	形容目光短淺，見識狹窄。
全軍[覆沒]	比喻完全喪失或澈底失敗。
避重[就輕]	避開艱難繁重的工作，而選擇輕鬆容易的。＆比喻避開主要的問題，而只談些無關緊要的事。
矯揉[造作]	形容刻意地人工施為與雕琢。貶義。＆形容裝腔作勢、刻意做作的態度。貶義。
老謀[深算]	形容人精明老練，計慮深遠。
分崩[離析]	形容國家或集團的分裂瓦解。
同歸[於盡]	比喻一同毀滅或死亡。
終南[捷徑]	比喻可以達到求官、求名、求利的便捷途徑。
刮目[相看]	形容用新的眼光來看人。
五光[十色]	形容景色鮮麗複雜，光彩奪目。＆比喻內容豐富，變化萬端。
引人[入勝]	引領人進入美麗玄妙的境地。
牛刀[小試]	比喻有大才能，在小事上施展。
年高[德劭]	指年紀大而品德好。褒義。
守望[相助]	形容相互幫助，共同守衛、瞭望。
妙手[回春]	比喻醫師的醫術高明，能治好重病。褒義。＆比喻將頹勢扭轉起來。
天翻[地覆]	形容巨大地改變原有的情狀。
肝腦[塗地]	形容慘死之狀。＆比喻人盡忠竭力，不惜犧牲生命之意。
快馬[加鞭]	形容快上加快。
志同[道合]	彼此的志趣和理想一致。
冷言[冷語]	含有譏諷意味的冷冰冰的話。
