投筆[從戎]	比喻棄文從軍，以衛國立功。褒義。
東窗[事發]	指陰謀或非法勾當敗漏。
畫蛇[添足]	比喻多此一舉，反將事情弄糟。貶義。
勢如[破竹]	比喻戰事進展順利。＆比喻事情進展順利。
滄海[桑田]	大海變為陸地，陸地淪為大海。比喻環境變化很大。＆比喻世事無常，變化很快。
望梅[止渴]	比喻以空想來安慰自己。
司空[見慣]	比喻經常看到，不足為奇。
南轅[北轍]	比喻行動和想要達到的目的相反。 ＆比喻二者彼此背道而馳。＆比喻遙隔兩地。
夜郎[自大]	比喻人見識短淺，狂妄自大。貶義。
信口[雌黃]	比喻不顧事實真相，隨口亂說或妄加批評。
狼狽[為奸]	比喻互相勾結做壞事。貶義。
狐假[虎威]	比喻藉著有權者的威勢欺壓他人、作威作福。
作法[自斃]	比喻自作自受。
為虎[作倀]	比喻幫惡人做壞事。貶義。
如火[如荼]	形容事物的興盛或氣氛的熱烈。
老馬[識途]	比喻有經驗的人對情況比較熟悉，容易把工作做好。褒義。
杞人[憂天]	比喻缺乏根據且不必要的憂慮。
一暴[十寒]	比喻人做事缺乏恆心，時常中斷。貶義。
守株[待兔]	比喻拘泥守成，不知變通。貶義。＆比喻妄想不勞而獲。貶義。＆等著目標自己送上門來。
不學[無術]	人未經學習而沒有學問才幹。貶義。
