如雷[貫耳]	比喻人名氣很大，眾所共聞。
瓜熟[蒂落]	比喻懷胎足月生產。＆比喻時機成熟，事情自然成功。
任勞[任怨]	形容人做事熱心負責，不辭勞苦，不怕嫌怨。
口誅[筆伐]	用言語和文字來揭發、譴責他人的罪狀。
一手[遮天]	比喻玩弄權術、瞞上欺下的行徑。貶義。
七手[八腳]	形容人多動作紛亂又沒條理。
一波[三折]	書法中的一捺，筆鋒需作三次轉折，使之曲折多姿。＆形容聲音、文章的跌宕起伏多變。＆比喻事情進行曲折多變。
一觸[即發]	比喻很緊張的情勢或很危險的時刻。
羽毛[未豐]	比喻勢力或能力不夠雄厚，還不足以獨當一面。
七竅[生煙]	形容焦急或氣憤到了極點。
有聲[有色]	形容事物精采，淋漓盡致。
含血[噴人]	比喻捏造事實，誣賴他人。貶義。
力爭[上游]	比喻努力奮鬥，求取上進。
心悅[誠服]	誠心誠意地歸服。
一孔[之見]	比喻人的見識狹隘淺薄，無法通曉整體。
改弦[易轍]	比喻改變制度、做法或態度。
簞食[瓢飲]	比喻生活簡單、清苦。
另起[爐灶]	比喻另立門戶。 ＆比喻捨棄舊事物，重新來過
兄弟[鬩牆]	指兄弟失和。＆比喻團體內部不和睦。
兵連[禍結]	戰爭持續不斷，災禍接連而來。
