安貧[樂道]	能安於貧困的處境，並仍以信守道義為樂。
安居[樂業]	人民生活安定和樂，且喜好自己的工作。
不識[抬舉]	指責人不接受或不自知別人的禮遇優待。
餘音[繞梁]	形容歌聲或音樂美妙感人，餘味不絕。
輕描[淡寫]	形容言論或寫作時，避開關鍵，將重點輕輕帶過。
彈丸[之地]	比喻狹小的地方。
自欺[欺人]	不但欺騙自己，也欺騙他人。貶義。
有始[無終]	比喻做事半途而廢，不能貫徹到底。貶義。
爾虞[我詐]	形容人與人之間的互相猜疑，玩弄欺騙手段。
刎頸[之交]	比喻可同生共死的至交好友。
義正[辭嚴]	義理正當，措詞嚴厲。
改頭[換面]	比喻形式雖改變，而實質未變。＆比喻一個人澈底改變，有重新做人之意。
意氣[用事]	處理事務但憑情緒，缺乏理智。
路不[拾遺]	不會撿拾路上失物，據為己有；形容社會風氣良好。褒義。
群龍[無首]	比喻一群人中缺乏領導者。
妙手[空空]	小偷、扒手的稱呼。＆表示兩手空空，一無所有。＆指稱缺乏資財而善於挪移應付的人。
求全[責備]	指對人或事要求完美無缺。
改邪[歸正]	指改正錯誤的行為，返回正途。
滔滔[不絕]	水勢滾滾，連續不斷。＆形容說話連續而不間斷。
逐臭[之夫]	比喻有怪癖的人。
