鬼使[神差]	比喻被莫名力量驅使而不由自主。
聳人[聽聞]	使人聽後大為驚駭。
一五[一十]	形容計數的仔細。＆比喻把事情從頭至尾詳細說出，無所遺漏。
氣宇[軒昂]	形容神采飛揚，氣度不凡。褒義。
隱惡[揚善]	隱藏他人的惡行，宣揚他人的善行。褒義。
軒然[大波]	比喻大的糾紛或風波。
粗枝[大葉]	簡略概括。＆比喻疏略，做事不細密。＆比喻大體的輪廓。
出口[成章]	比喻才思敏捷，談吐風雅。褒義。
雞皮[鶴髮]	形容老人的形貌。
人去[樓空]	表示舊地重遊時人事已非，或對故人的思念。＆形容畏罪潛逃，不知去向。
三頭[六臂]	比喻人本領大，力強可畏。
出水[芙蓉]	指初出水面初開的荷花，光潔清新。＆比喻詩文清新可愛。褒義。＆比喻女子嬌柔豔麗。褒義。
觸景[生情]	看見眼前景象而引發內心種種情緒。
黃袍[加身]	指被擁戴為皇帝。
一箭[雙雕]	比喻一次舉動，可以同時達到兩個目標。
三寸[不爛之舌]	形容人口才極佳，能言善道。
捨本[逐末]	指不求事物的根本大端，只重視微末小節。
一心[一意]	心意專一，毫無他念。
相得[益彰]	指互相配合、映襯，更能顯出各自的優點。
韋編[三絕]	比喻讀書勤奮努力。
