一毛[不拔]	形容人非常吝嗇。貶義。
掩耳[盜鈴]	比喻妄想瞞騙他人，結果卻只是欺騙自己而已。貶義。
一丘[之貉]	比喻彼此同樣低劣，並無差異。貶義。
囫圇[吞棗]	比喻理解事物籠統含糊，或為學不求甚解。貶義。
班門[弄斧]	比喻在行家面前賣弄本事，不自量力。貶義。
朝三[暮四]	比喻心意不定、反覆無常。貶義。
水落[石出]	比喻事情經過澄清而後真相大白。
名落[孫山]	指應考不中。
胸有[成竹]	比喻處事有定見。
竭澤[而漁]	比喻盡其所有，不留餘地。
指鹿[為馬]	比喻人刻意混淆是非，顛倒黑白。
天衣[無縫]	比喻詩文渾然天成，沒有斧鑿痕跡。褒義。＆比喻事物或計畫周密完美，沒有一絲破綻或缺點。褒義。
舉一[反三]	形容人於學習中善於觸類旁通。褒義。
江郎[才盡]	比喻文人的才思枯竭，無法再創佳句。
青出[於藍]	比喻弟子勝過老師，或後輩優於前輩。褒義。
口若[懸河]	比喻能言善辯。
驚弓[之鳥]	比喻曾受打擊或驚嚇，心有餘悸，稍有動靜就害怕的人。
含沙[射影]	比喻間接地詆毀、陷害別人。貶義。
一敗[塗地]	形容做事失敗，到了無法收拾的地步。
草木[皆兵]	形容疑神疑鬼、驚恐不安。
投筆[從戎]	比喻棄文從軍，以衛國立功。褒義。
東窗[事發]	指陰謀或非法勾當敗漏。
畫蛇[添足]	比喻多此一舉，反將事情弄糟。貶義。
勢如[破竹]	比喻戰事進展順利。＆比喻事情進展順利。
滄海[桑田]	大海變為陸地，陸地淪為大海。比喻環境變化很大。＆比喻世事無常，變化很快。
望梅[止渴]	比喻以空想來安慰自己。
司空[見慣]	比喻經常看到，不足為奇。
南轅[北轍]	比喻行動和想要達到的目的相反。 ＆比喻二者彼此背道而馳。＆比喻遙隔兩地。
夜郎[自大]	比喻人見識短淺，狂妄自大。貶義。
信口[雌黃]	比喻不顧事實真相，隨口亂說或妄加批評。
狼狽[為奸]	比喻互相勾結做壞事。貶義。
狐假[虎威]	比喻藉著有權者的威勢欺壓他人、作威作福。
作法[自斃]	比喻自作自受。
為虎[作倀]	比喻幫惡人做壞事。貶義。
如火[如荼]	形容事物的興盛或氣氛的熱烈。
老馬[識途]	比喻有經驗的人對情況比較熟悉，容易把工作做好。褒義。
杞人[憂天]	比喻缺乏根據且不必要的憂慮。
一暴[十寒]	比喻人做事缺乏恆心，時常中斷。貶義。
守株[待兔]	比喻拘泥守成，不知變通。貶義。＆比喻妄想不勞而獲。貶義。＆等著目標自己送上門來。
不學[無術]	人未經學習而沒有學問才幹。貶義。
四面[楚歌]	比喻四面受敵，孤立無援。
奇貨[可居]	比喻利用某種專長或有價值的東西以謀利。
刻舟[求劍]	比喻拘泥固執，不知變通。貶義。
走馬[看花]	比喻粗略、匆促地觀看，不能仔細深入。
後來[居上]	形容後來的人或事物超越原領先者。褒義。
負荊[請罪]	背著荊條，前往對方居所自請責罰。 ＆比喻主動向對方承認錯誤，請求責罰和原諒。
對牛[彈琴]	比喻講話、做事不看對象。＆比喻對不懂道理的人講道理。
一鼓[作氣]	比喻做事時要趁著初起時的勇氣去做才容易成功。
杯弓[蛇影]	比喻為不存在的事情枉自驚疑恐懼。
紙上[談兵]	比喻不切實際的議論。貶義。
破鏡[重圓]	比喻夫妻離散或情感決裂後重新團圓合好。
東山[再起]	比喻官員退隱後，再度出任官職。＆比喻失敗後重新崛起。
