死灰[復燃]	比喻失勢者重新得勢。＆比喻已經平息的事物，又重新活動起來。
咄咄[逼人]	形容言語凌厲，氣勢迫人。 ＆形容詩文字畫等的氣勢逼近或超越前人的作品，令人敬畏。
出奇[制勝]	發奇兵或用奇計制敵而獲勝。褒義。＆比喻用奇特、創新的方法取得好效果。褒義。
出類[拔萃]	形容才能特出，超越眾人。褒義。
一竅[不通]	比喻人昏昧不明事理。貶義。＆比喻人對某事完全不懂。貶義。
食古[不化]	比喻一味守舊而不知變通。貶義。
一日[千里]	形容速度很快。＆比喻進步極快或進展迅速。褒義。
吹毛[求疵]	比喻刻意挑剔過失或缺點。貶義。
一諾[千金]	形容信守承諾，說話算數。褒義。
騎虎[難下]	比喻事情迫於情勢，無法中止，只好繼續做下去。
投鼠[忌器]	比喻想要除害，但因有所顧忌而不敢下手。
孤注[一擲]	比喻危急時，投入全部力量，作最後的冒險。
坐井[觀天]	比喻人眼界狹小，見識不廣。
滄海[一粟]	比喻渺小而微不足道。
門可[羅雀]	形容做官的人失勢後賓客稀少的景況。＆泛指一般來客稀少、門庭冷清的景況。
攀龍[附鳳]	比喻巴結權貴，以求晉升。貶義。
痛心[疾首]	指痛恨到極點。
易如[反掌]	比喻事情非常容易做到。
膾炙[人口]	美味的食物人人愛吃。＆比喻美妙的詩文為人所讚賞、傳誦。褒義。＆比喻事物精妙而備受稱誦。褒義。
趾高[氣揚]	形容人驕傲自滿、得意忘形。多具貶義。
