八拜[之交]	指結拜為異姓兄弟姊妹的朋友。
萬象[更新]	表示大自然界的事物或景象都改變得煥然一新。
三姑[六婆]	比喻愛搬弄是非的婦女。貶義。
死有[餘辜]	形容罪惡深重，死都不足以抵罪。貶義。
巧奪[天工]	形容技藝巧妙。褒義。
萬紫[千紅]	形容百花盛開，色彩絢麗的景象。＆比喻事物豐富而多采多姿。
罪不[容誅]	比喻罪大惡極。貶義。
當機[立斷]	當下立刻作出決斷，毫不遲疑。
古色[古香]	形容具有古舊典雅色彩和情調的書畫、或造型仿古的器物、建築、藝術品等。
綽綽[有餘]	形容各方面非常寬裕，足以應付所需。
放蕩[不羈]	指豪放而不受拘束。＆形容行為放縱隨便，不加檢點。貶義。
半路[出家]	比喻中途轉業改行。＆比喻成年後才出家為僧為尼。
漫不[經心]	隨隨便便，不加留意。
如喪[考妣]	比喻悲痛至極。
憤世[嫉俗]	形容腐敗的社會現狀及庸俗世態的痛恨。
價值[連城]	形容物品十分珍貴。
事過[境遷]	事情過了，環境也已改變。
三言[兩語]	形容言語簡短。
兵荒[馬亂]	形容戰爭所造成的混亂景象。
一瀉[千里]	形容水奔流直下，通暢快速。＆比喻文筆流暢，氣勢奔放。＆比喻快速下降且持續不停。
