pickle	醃製	藥丸,藥片;(女用)口服避孕藥	飛行員	松樹
pill	藥丸,藥片;(女用)口服避孕藥	飛行員	松樹	品脫(英美容量或液量名)
pilot	飛行員	松樹	品脫(英美容量或液量名)	使成凹;挖坑於
pine	松樹	品脫(英美容量或液量名)	使成凹;挖坑於	憐憫;同情
pint	品脫(英美容量或液量名)	使成凹;挖坑於	憐憫;同情	可塑的,塑性的;整形的
pit	使成凹;挖坑於	憐憫;同情	可塑的,塑性的;整形的	足夠,充分地
pity	憐憫;同情	可塑的,塑性的;整形的	足夠,充分地	把...塞住,堵塞
plastic	可塑的,塑性的;整形的	足夠,充分地	把...塞住,堵塞	梅子
plenty	足夠,充分地	把...塞住,堵塞	梅子	水電工
plug	把...塞住,堵塞	梅子	水電工	柱;竿;旗杆
plum	梅子	水電工	柱;竿;旗杆	政治的;政治上的
plumber	水電工	柱;竿;旗杆	政治的;政治上的	政客
pole	柱;竿;旗杆	政治的;政治上的	政客	黨派關係,手腕,權術
political	政治的;政治上的	政客	黨派關係,手腕,權術	對...進行民意測驗
politician	政客	黨派關係,手腕,權術	對...進行民意測驗	污染
politics	黨派關係,手腕,權術	對...進行民意測驗	污染	矮種馬;小馬
poll	對...進行民意測驗	污染	矮種馬;小馬	砰的一聲
pollute	污染	矮種馬;小馬	砰的一聲	砰的一聲
pony	矮種馬;小馬	砰的一聲	砰的一聲	瓷器
pop 	砰的一聲	砰的一聲	瓷器	分配
pop 	砰的一聲	瓷器	分配	肖像,畫像;相片
porcelain/china	瓷器	分配	肖像,畫像;相片	郵資,郵費
portion	分配	肖像,畫像;相片	郵資,郵費	招貼,海報,廣告(畫)
portrait	肖像,畫像;相片	郵資,郵費	招貼,海報,廣告(畫)	延遲,延緩
postage	郵資,郵費	招貼,海報,廣告(畫)	延遲,延緩	陶器
poster	招貼,海報,廣告(畫)	延遲,延緩	陶器	倒入
postpone	延遲,延緩	陶器	倒入	貧窮,貧困
pottery/ceramic	陶器	倒入	貧窮,貧困	變成粉末;搽粉
pour	倒入	貧窮,貧困	變成粉末;搽粉	實際的
poverty	貧窮,貧困	變成粉末;搽粉	實際的	祈禱,禱告
powder	變成粉末;搽粉	實際的	祈禱,禱告	寶貴的
practical	實際的	祈禱,禱告	寶貴的	準備,預備
prayer	祈禱,禱告	寶貴的	準備,預備	對...施加壓力;迫使
precious	寶貴的	準備,預備	對...施加壓力;迫使	佯裝;假裝
preparation	準備,預備	對...施加壓力;迫使	佯裝;假裝	防止,預防
pressure	對...施加壓力;迫使	佯裝;假裝	防止,預防	以前的
pretend	佯裝;假裝	防止,預防	以前的	牧師;神父
prevent	防止,預防	以前的	牧師;神父	主要的;初級的
previous	以前的	牧師;神父	主要的;初級的	很可能發生的
priest	牧師;神父	主要的;初級的	很可能發生的	加工沖洗(膠卷)
