primary	主要的;初級的	很可能發生的	加工沖洗(膠卷)	產品
probable	很可能發生的	加工沖洗(膠卷)	產品	得益,獲益
process	加工沖洗(膠卷)	產品	得益,獲益	為...安排節目;設計電腦程式
product	產品	得益,獲益	為...安排節目;設計電腦程式	推銷(商品等)
profit	得益,獲益	為...安排節目;設計電腦程式	推銷(商品等)	證據;物證;證明
program	為...安排節目;設計電腦程式	推銷(商品等)	證據;物證;證明	適合的,適當的
promote	推銷(商品等)	證據;物證;證明	適合的,適當的	財產,資產
proof	證據;物證;證明	適合的,適當的	財產,資產	提議;計劃;提案
proper	適合的,適當的	財產,資產	提議;計劃;提案	保護
property	財產,資產	提議;計劃;提案	保護	保護的,防護的
proposal	提議;計劃;提案	保護	保護的,防護的	酒吧
protection	保護	保護的,防護的	酒吧	用拳猛擊
protective	保護的,防護的	酒吧	用拳猛擊	純粹的
pub	酒吧	用拳猛擊	純粹的	追求;從事
punch	用拳猛擊	純粹的	追求;從事	爭吵
pure	純粹的	追求;從事	爭吵	古怪的
pursue	追求;從事	爭吵	古怪的	引用;引述;報價
quarrel	爭吵	古怪的	引用;引述;報價	種族的
queer	古怪的	引用;引述;報價	種族的	雷達
quote	引用;引述;報價	種族的	雷達	破布;抹布;破爛衣衫
racial	種族的	雷達	破布;抹布;破爛衣衫	葡萄乾
radar	雷達	破布;抹布;破爛衣衫	葡萄乾	把...分等;把...評級
rag	破布;抹布;破爛衣衫	葡萄乾	把...分等;把...評級	對...評價
raisin	葡萄乾	把...分等;把...評級	對...評價	生的,未煮過的;未加工的
rank	把...分等;把...評級	對...評價	生的,未煮過的;未加工的	魟魚
rate	對...評價	生的,未煮過的;未加工的	魟魚	刮鬍刀
raw	生的,未煮過的;未加工的	魟魚	刮鬍刀	作出反應
ray	魟魚	刮鬍刀	作出反應	反應,感應
razor	刮鬍刀	作出反應	反應,感應	合理的,正當的
react	作出反應	反應,感應	合理的,正當的	收據,收條
reaction	反應,感應	合理的,正當的	收據,收條	受領人;收件人,收款人
reasonable	合理的,正當的	收據,收條	受領人;收件人,收款人	識別;認識;承認
receipt	收據,收條	受領人;收件人,收款人	識別;認識;承認	直笛
receiver	受領人;收件人,收款人	識別;認識;承認	直笛	尋回;恢復
recognize	識別;認識;承認	直笛	尋回;恢復	減少;縮小;降低
recorder	直笛	尋回;恢復	減少;縮小;降低	地區的
recover	尋回;恢復	減少;縮小;降低	地區的	懊悔
reduce	減少;縮小;降低	地區的	懊悔	有關,涉及
regional	地區的	懊悔	有關,涉及	放鬆
regret	懊悔	有關,涉及	放鬆	釋放,解放
