confident	有信心的	使迷惑	連接,連結	連接;聯絡;銜接
confuse	使迷惑	連接,連結	連接;聯絡;銜接	神志清醒的,有知覺的
connect	連接,連結	連接;聯絡;銜接	神志清醒的,有知覺的	相當大的;相當多的
connection	連接;聯絡;銜接	神志清醒的,有知覺的	相當大的;相當多的	考慮
conscious	神志清醒的,有知覺的	相當大的;相當多的	考慮	固定的,不變的
considerable	相當大的;相當多的	考慮	固定的,不變的	大陸,陸地;大洲
consideration	考慮	固定的,不變的	大陸,陸地;大洲	承包
constant	固定的,不變的	大陸,陸地;大洲	承包	蹲著
continent	大陸,陸地;大洲	承包	蹲著	可計算的;可數的
contract	承包	蹲著	可計算的;可數的	懦夫,膽怯者
couch	蹲著	可計算的;可數的	懦夫,膽怯者	撫育
countable	可計算的;可數的	懦夫,膽怯者	撫育	碰撞,倒下,墜落
coward	懦夫,膽怯者	撫育	碰撞,倒下,墜落	爬
cradle	撫育	碰撞,倒下,墜落	爬	有創造力(或想像力)的
crash	碰撞,倒下,墜落	爬	有創造力(或想像力)的	創造者;創作者
crawl	爬	有創造力(或想像力)的	創造者;創作者	生物
creative	有創造力(或想像力)的	創造者;創作者	生物	把...記入貸方
creator	創造者;創作者	生物	把...記入貸方	躡手躡足地走
creature	生物	把...記入貸方	躡手躡足地走	全體船員
credit	把...記入貸方	躡手躡足地走	全體船員	蟋蟀
creep	躡手躡足地走	全體船員	蟋蟀	犯罪的
crew	全體船員	蟋蟀	犯罪的	脆的,酥的,鬆脆的
cricket	蟋蟀	犯罪的	脆的,酥的,鬆脆的	為...加冕
criminal	犯罪的	脆的,酥的,鬆脆的	為...加冕	發嘎吱嘎吱聲的;易碎的
crisp/crispy	脆的,酥的,鬆脆的	為...加冕	發嘎吱嘎吱聲的;易碎的	丁形柺杖
crown	為...加冕	發嘎吱嘎吱聲的;易碎的	丁形柺杖	教養的;人文的
crunchy	發嘎吱嘎吱聲的;易碎的	丁形柺杖	教養的;人文的	食櫥;碗櫃
crutch	丁形柺杖	教養的;人文的	食櫥;碗櫃	現行的
cultural	教養的;人文的	食櫥;碗櫃	現行的	循環
cupboard	食櫥;碗櫃	現行的	循環	牛奶店;牛奶及乳品業
current	現行的	循環	牛奶店;牛奶及乳品業	築壩於,築壩攔(水)
cycle	循環	牛奶店;牛奶及乳品業	築壩於,築壩攔(水)	敢
dairy	牛奶店;牛奶及乳品業	築壩於,築壩攔(水)	敢	親愛的,心愛的;寵愛的
dam	築壩於,築壩攔(水)	敢	親愛的,心愛的;寵愛的	猛衝，急奔，跑
dare	敢	親愛的,心愛的;寵愛的	猛衝，急奔，跑	使聾
darling	親愛的,心愛的;寵愛的	猛衝，急奔，跑	使聾	業者;商人;發牌者
dash	猛衝，急奔，跑	使聾	業者;商人;發牌者	十年
deafen	使聾	業者;商人;發牌者	十年	(船的) 艙面,甲板;(紙牌的)一副
dealer	業者;商人;發牌者	十年	(船的) 艙面,甲板;(紙牌的)一副	契據;證書
decade	十年	(船的) 艙面,甲板;(紙牌的)一副	契據;證書	使加深
