abdomen	下腹	在船(或飛機;車)上;上船(或飛機;車)	可以接受的;令人滿意的	事故;災禍
aboard	在船(或飛機;車)上;上船(或飛機;車)	可以接受的;令人滿意的	事故;災禍	帳戶
acceptable	可以接受的;令人滿意的	事故;災禍	帳戶	準確的
accident	事故;災禍	帳戶	準確的	(持續性地)疼痛;渴望
account	帳戶	準確的	(持續性地)疼痛;渴望	實現
accurate	準確的	(持續性地)疼痛;渴望	實現	活動
ache	(持續性地)疼痛;渴望	實現	活動	實際的;事實上的
achieve	實現	活動	實際的;事實上的	附加的;額外的
activity	活動	實際的;事實上的	附加的;額外的	欽佩;欣賞
actual	實際的;事實上的	附加的;額外的	欽佩;欣賞	承認;准許進入;可容納
additional	附加的;額外的	欽佩;欣賞	承認;准許進入;可容納	採納;收養;接受
admire	欽佩;欣賞	承認;准許進入;可容納	採納;收養;接受	先進的;高等的
admit	承認;准許進入;可容納	採納;收養;接受	先進的;高等的	優點,優勢;利益
adopt	採納;收養;接受	先進的;高等的	優點,優勢;利益	冒險;冒險活動
advanced	先進的;高等的	優點,優勢;利益	冒險;冒險活動	為...做廣告;公佈
advantage	優點,優勢;利益	冒險;冒險活動	為...做廣告;公佈	忠告
adventure	冒險;冒險活動	為...做廣告;公佈	忠告	勸告
advertise	為...做廣告;公佈	忠告	勸告	顧問;指導教授
advice	忠告	勸告	顧問;指導教授	影響
advise	勸告	顧問;指導教授	影響	買得起
adviser/advisor	顧問;指導教授	影響	買得起	之後
affect	影響	買得起	之後	農業
afford	買得起	之後	農業	冷氣機
afterward	之後	農業	冷氣機	小巷,後街
agriculture	農業	冷氣機	小巷,後街	使大為驚奇
air-conditioner	冷氣機	小巷,後街	使大為驚奇	大使
alley	小巷,後街	使大為驚奇	大使	野心
amaze	使大為驚奇	大使	野心	天使
ambassador	大使	野心	天使	角度
ambition	野心	天使	角度	宣佈
angel	天使	角度	宣佈	分開地
angle	角度	宣佈	分開地	明顯的,顯而易見的
announce	宣佈	分開地	明顯的,顯而易見的	呼籲,懇求
apart	分開地	明顯的,顯而易見的	呼籲,懇求	感謝;賞識
apparent	明顯的,顯而易見的	呼籲,懇求	感謝;賞識	接近
appeal	呼籲,懇求	感謝;賞識	接近	答應
appreciate	感謝;賞識	接近	答應	養魚缸;水族館
approach	接近	答應	養魚缸;水族館	算術的
approve	答應	養魚缸;水族館	算術的	到達
aquarium	養魚缸;水族館	算術的	到達	灰
