gram	公克	抓牢	蚱蜢	溫室,暖房
grasp	抓牢	蚱蜢	溫室,暖房	露齒而笑
grasshopper	蚱蜢	溫室,暖房	露齒而笑	食品雜貨; 食品雜貨店
greenhouse	溫室,暖房	露齒而笑	食品雜貨; 食品雜貨店	保護者,守護者;管理員
grin	露齒而笑	食品雜貨; 食品雜貨店	保護者,守護者;管理員	指導;引導;領導
grocery	食品雜貨; 食品雜貨店	保護者,守護者;管理員	指導;引導;領導	口香糖
guardian	保護者,守護者;管理員	指導;引導;領導	口香糖	體育館;健身房
guidance	指導;引導;領導	口香糖	體育館;健身房	美髮師
gum/chewing gum	口香糖	體育館;健身房	美髮師	玄關;門廳,走
gymnasium/gym	體育館;健身房	美髮師	玄關;門廳,走	少數,少量
hairdresser	美髮師	玄關;門廳,走	少數,少量	便利的;靈活的;易於操作的
hallway	玄關;門廳,走	少數,少量	便利的;靈活的;易於操作的	庇護
handful	少數,少量	便利的;靈活的;易於操作的	庇護	損害,傷害;危害
handy	便利的;靈活的;易於操作的	庇護	損害,傷害;危害	有害的
harbor	庇護	損害,傷害;危害	有害的	收割;收穫
harm	損害,傷害;危害	有害的	收割;收穫	輕率的
harmful	有害的	收割;收穫	輕率的	孵出
harvest	收割;收穫	輕率的	孵出	鷹,隼
hasty	輕率的	孵出	鷹,隼	乾草
hatch	孵出	鷹,隼	乾草	給...加標題
hawk	鷹,隼	乾草	給...加標題	總部,總公司,總局
hay	乾草	給...加標題	總部,總公司,總局	癒合;痊癒
headline	給...加標題	總部,總公司,總局	癒合;痊癒	裝滿
headquarters	總部,總公司,總局	癒合;痊癒	裝滿	天國;上帝
heal	癒合;痊癒	裝滿	天國;上帝	腳跟
heap	裝滿	天國;上帝	腳跟	地獄,冥府
heaven	天國;上帝	腳跟	地獄,冥府	安全帽
heel	腳跟	地獄,冥府	安全帽	躊躇;猶豫
hell	地獄,冥府	安全帽	躊躇;猶豫	健行
helmet	安全帽	躊躇;猶豫	健行	暗示,示意
hesitate	躊躇;猶豫	健行	暗示,示意	歷史學家
hike	健行	暗示,示意	歷史學家	歷史上著名的
hint	暗示,示意	歷史學家	歷史上著名的	歷史的,史學的
historian	歷史學家	歷史上著名的	歷史的,史學的	蜂房;蜂巢;熱鬧的場所
historic	歷史上著名的	歷史的,史學的	蜂房;蜂巢;熱鬧的場所	空的
historical	歷史的,史學的	蜂房;蜂巢;熱鬧的場所	空的	神聖的
hive	蜂房;蜂巢;熱鬧的場所	空的	神聖的	故鄉;家鄉
hollow	空的	神聖的	故鄉;家鄉	誠實
holy	神聖的	故鄉;家鄉	誠實	使增光;承兌,支付
hometown	故鄉;家鄉	誠實	使增光;承兌,支付	喇叭
