beggar	乞丐	舉動;守規矩	存在;生存;生命;本質	腹部
behave	舉動;守規矩	存在;生存;生命;本質	腹部	在～之下
being	存在;生存;生命;本質	腹部	在～之下	對...有益
belly/stomach/tummy/	腹部	在～之下	對...有益	莓果
beneath	在～之下	對...有益	莓果	聖經
benefit	對...有益	莓果	聖經	十億
berry	莓果	聖經	十億	賓果遊戲
Bible/bible	聖經	十億	賓果遊戲	(美國)小麵包
billion	十億	賓果遊戲	(美國)小麵包	歸咎於
bingo	賓果遊戲	(美國)小麵包	歸咎於	毯子
biscuit	(美國)小麵包	歸咎於	毯子	流血
blame	歸咎於	毯子	流血	祝福
blanket	毯子	流血	祝福	女裝短上衣
bleed	流血	祝福	女裝短上衣	無畏的;大膽的
bless	祝福	女裝短上衣	無畏的;大膽的	後車廂
blouse	女裝短上衣	無畏的;大膽的	後車廂	邊界
bold	無畏的;大膽的	後車廂	邊界	使厭煩
boot	後車廂	邊界	使厭煩	煞車
border	邊界	使厭煩	煞車	黃銅
bore	使厭煩	煞車	黃銅	勇敢,勇氣
brake	煞車	黃銅	勇敢,勇氣	乳房
brass	黃銅	勇敢,勇氣	乳房	呼吸,氣息;微風
bravery	勇敢,勇氣	乳房	呼吸,氣息;微風	呼吸
breast	乳房	呼吸,氣息;微風	呼吸	吹著微風
breath	呼吸,氣息;微風	呼吸	吹著微風	新娘
breathe	呼吸	吹著微風	新娘	傑出的
breeze	吹著微風	新娘	傑出的	小河,小溪
bride	新娘	傑出的	小河,小溪	掃把
brilliant	傑出的	小河,小溪	掃把	眉頭;眉毛
brook	小河,小溪	掃把	眉頭;眉毛	泡泡
broom	掃把	眉頭;眉毛	泡泡	水桶
brow	眉頭;眉毛	泡泡	水桶	芽
bubble	泡泡	水桶	芽	把...編入預算
bucket/pail	水桶	芽	把...編入預算	水牛
bud	芽	把...編入預算	水牛	自助餐
budget	把...編入預算	水牛	自助餐	球莖
buffalo	水牛	自助餐	球莖	公牛
buffet	自助餐	球莖	公牛	子彈
bulb	球莖	公牛	子彈	碰,撞
bull	公牛	子彈	碰,撞	串,束
