strength	力量,力氣	剝除	構造;組織;建造	倔強的,頑固的
strip 	剝除	構造;組織;建造	倔強的,頑固的	工作室,畫室;雕塑室;照相館
structure	構造;組織;建造	倔強的,頑固的	工作室,畫室;雕塑室;照相館	東西
stubborn	倔強的,頑固的	工作室,畫室;雕塑室;照相館	東西	稱呼;命名;設計;使成為時髦
studio	工作室,畫室;雕塑室;照相館	東西	稱呼;命名;設計;使成為時髦	物質
stuff 	東西	稱呼;命名;設計;使成為時髦	物質	郊區
style	稱呼;命名;設計;使成為時髦	物質	郊區	吸,吮,啜
substance	物質	郊區	吸,吮,啜	遭受;經歷;受苦;患病
suburb	郊區	吸,吮,啜	遭受;經歷;受苦;患病	足夠的,充分的
suck	吸,吮,啜	遭受;經歷;受苦;患病	足夠的,充分的	建議
suffer	遭受;經歷;受苦;患病	足夠的,充分的	建議	自殺,自殺行為
sufficient	足夠的,充分的	建議	自殺,自殺行為	適當的;合適的;適宜的
suggest	建議	自殺,自殺行為	適當的;合適的;適宜的	計算...的總和
suicide	自殺,自殺行為	適當的;合適的;適宜的	計算...的總和	總結,摘要
suitable	適當的;合適的;適宜的	計算...的總和	總結,摘要	山頂
sum	計算...的總和	總結,摘要	山頂	上面的
summary	總結,摘要	山頂	上面的	猜想,以為;假定
summit	山頂	上面的	猜想,以為;假定	圍繞
superior	上面的	猜想,以為;假定	圍繞	測量,勘測
suppose	猜想,以為;假定	圍繞	測量,勘測	倖存;殘存
surround	圍繞	測量,勘測	倖存;殘存	倖存者,生還者
survey	測量,勘測	倖存;殘存	倖存者,生還者	可疑的;受到懷疑的;不可信的
survival	倖存;殘存	倖存者,生還者	可疑的;受到懷疑的;不可信的	懷疑,疑心,猜疑
survivor	倖存者,生還者	可疑的;受到懷疑的;不可信的	懷疑,疑心,猜疑	發誓;宣誓
suspect	可疑的;受到懷疑的;不可信的	懷疑,疑心,猜疑	發誓;宣誓	出汗
suspicion	懷疑,疑心,猜疑	發誓;宣誓	出汗	腫起,腫脹
swear	發誓;宣誓	出汗	腫起,腫脹	快速的,快捷的
sweat	出汗	腫起,腫脹	快速的,快捷的	開關
swell	腫起,腫脹	快速的,快捷的	開關	劍,刀
swift	快速的,快捷的	開關	劍,刀	系統
switch	開關	劍,刀	系統	藥片;小片
sword	劍,刀	系統	藥片;小片	用平頭釘釘
system	系統	藥片;小片	用平頭釘釘	給...加標籤
tablet	藥片;小片	用平頭釘釘	給...加標籤	做裁縫
tack	用平頭釘釘	給...加標籤	做裁縫	經馴養的,馴服的
tag	給...加標籤	做裁縫	經馴養的,馴服的	龍頭
tailor	做裁縫	經馴養的,馴服的	龍頭	向...課稅
tame	經馴養的,馴服的	龍頭	向...課稅	逗弄;取笑;向...強求
tap 	龍頭	向...課稅	逗弄;取笑;向...強求	專門的,技術性的
tax	向...課稅	逗弄;取笑;向...強求	專門的,技術性的	技巧;技術
