honesty	誠實	使增光;承兌,支付	喇叭	可怕的
honor	使增光;承兌,支付	喇叭	可怕的	恐怖,震驚,毛骨悚然
horn	喇叭	可怕的	恐怖,震驚,毛骨悚然	以鐘點計算的
horrible	可怕的	恐怖,震驚,毛骨悚然	以鐘點計算的	女管家
horror	恐怖,震驚,毛骨悚然	以鐘點計算的	女管家	摟抱
hourly	以鐘點計算的	女管家	摟抱	幽默的
housekeeper	女管家	摟抱	幽默的	使沈默,使安靜
hug	摟抱	幽默的	使沈默,使安靜	小屋;臨時營房
humorous	幽默的	使沈默,使安靜	小屋;臨時營房	冰冷的
hush	使沈默,使安靜	小屋;臨時營房	冰冷的	理想的,完美的
hut	小屋;臨時營房	冰冷的	理想的,完美的	身分
icy	冰冷的	理想的,完美的	身分	無知,不學無術;愚昧
ideal	理想的,完美的	身分	無知,不學無術;愚昧	肖像影像
identity	身分	無知,不學無術;愚昧	肖像影像	想像力;創造力
ignorance	無知,不學無術;愚昧	肖像影像	想像力;創造力	即刻的
image	肖像影像	想像力;創造力	即刻的	輸入
imagination	想像力;創造力	即刻的	輸入	給...極深的印象
immediate	即刻的	輸入	給...極深的印象	予人深刻印象的
import	輸入	給...極深的印象	予人深刻印象的	完全地
impress	給...極深的印象	予人深刻印象的	完全地	個別的
impressive	予人深刻印象的	完全地	個別的	室內的
indeed	完全地	個別的	室內的	室內的
individual	個別的	室內的	室內的	工業的,產業的
indoor	室內的	室內的	工業的,產業的	低等的;下級的
indoors	室內的	工業的,產業的	低等的;下級的	通知,告知
industrial	工業的,產業的	低等的;下級的	通知,告知	傷害;損害;毀壞
inferior	低等的;下級的	通知,告知	傷害;損害;毀壞	傷害
inform	通知,告知	傷害;損害;毀壞	傷害	小旅館,客棧
injure	傷害;損害;毀壞	傷害	小旅館,客棧	內部的
injury	傷害	小旅館,客棧	內部的	無罪的,清白的
inn	小旅館,客棧	內部的	無罪的,清白的	檢查;審查
inner	內部的	無罪的,清白的	檢查;審查	檢查員;視察員;督察員
innocent	無罪的,清白的	檢查;審查	檢查員;視察員;督察員	反而,卻
inspect	檢查;審查	檢查員;視察員;督察員	反而,卻	教學,講授
inspector	檢查員;視察員;督察員	反而,卻	教學,講授	內部的
instead	反而,卻	教學,講授	內部的	打斷(談話和工作等)
instruction	教學,講授	內部的	打斷(談話和工作等)	介紹;正式引見
internal	內部的	打斷(談話和工作等)	介紹;正式引見	發明家
interrupt	打斷(談話和工作等)	介紹;正式引見	發明家	調查,研究
introduction	介紹;正式引見	發明家	調查,研究	象牙
