vision	視力	維他命	鮮豔的;生動的	卷,冊
vitamin	維他命	鮮豔的;生動的	卷,冊	搖;搖擺;搖尾巴
vivid	鮮豔的;生動的	卷,冊	搖;搖擺;搖尾巴	薪水
volume	卷,冊	搖;搖擺;搖尾巴	薪水	運貨馬車
wag	搖;搖擺;搖尾巴	薪水	運貨馬車	醒來;睡醒;喚醒
wage	薪水	運貨馬車	醒來;睡醒;喚醒	漫遊
wagon	運貨馬車	醒來;睡醒;喚醒	漫遊	溫暖;親切;熱情
waken	醒來;睡醒;喚醒	漫遊	溫暖;親切;熱情	警告
wander	漫遊	溫暖;親切;熱情	警告	給...上蠟
warmth	溫暖;親切;熱情	警告	給...上蠟	削弱,減弱
warn	警告	給...上蠟	削弱,減弱	財富;大量
wax	給...上蠟	削弱,減弱	財富;大量	富裕的;豐富的
weaken	削弱,減弱	財富;大量	富裕的;豐富的	織;編
wealth	財富;大量	富裕的;豐富的	織;編	(蜘蛛等)結網於;形成網狀
wealthy	富裕的;豐富的	織;編	(蜘蛛等)結網於;形成網狀	除掉(雜草)
weave	織;編	(蜘蛛等)結網於;形成網狀	除掉(雜草)	哭
web	(蜘蛛等)結網於;形成網狀	除掉(雜草)	哭	小麥
weed	除掉(雜草)	哭	小麥	攪打
weep	哭	小麥	攪打	吹口哨
wheat	小麥	攪打	吹口哨	缺德的;淘氣的;過分的
whip	攪打	吹口哨	缺德的;淘氣的;過分的	柳
whistle	吹口哨	缺德的;淘氣的;過分的	柳	眨(眼)
wicked	缺德的;淘氣的;過分的	柳	眨(眼)	擦
willow	柳	眨(眼)	擦	智慧,才智;名言
wink	眨(眼)	擦	智慧,才智;名言	包,裹
wipe	擦	智慧,才智;名言	包,裹	手腕
wisdom	智慧,才智;名言	包,裹	手腕	X光線的
wrap	包,裹	手腕	X光線的	打呵欠
wrist	手腕	X光線的	打呵欠	吼叫
X-ray/x-ray	X光線的	打呵欠	吼叫	蛋黃
yawn	打呵欠	吼叫	蛋黃	年輕人
yell	吼叫	蛋黃	年輕人	拉上拉鍊
yolk	蛋黃	年輕人	拉上拉鍊	劃出...為區
youngster	年輕人	拉上拉鍊	劃出...為區	早上
zipper	拉上拉鍊	劃出...為區	早上	放棄
zone 	劃出...為區	早上	放棄	下腹
