tribe	部落;種族	狡猾的	集合	熱帶的
tricky	狡猾的	集合	熱帶的	樹幹
troop	集合	熱帶的	樹幹	誠實的
tropical	熱帶的	樹幹	誠實的	浴缸
trunk	樹幹	誠實的	浴缸	用力拉
truthful	誠實的	浴缸	用力拉	鬱金香
tub	浴缸	用力拉	鬱金香	跌倒
tug	用力拉	鬱金香	跌倒	為...調音
tulip	鬱金香	跌倒	為...調音	當家庭教師
tumble	跌倒	為...調音	當家庭教師	細枝;嫩枝
tune	為...調音	當家庭教師	細枝;嫩枝	孿生兒
tutor	當家庭教師	細枝;嫩枝	孿生兒	扭轉;扭彎
twig	細枝;嫩枝	孿生兒	扭轉;扭彎	打字機
twin	孿生兒	扭轉;扭彎	打字機	典型的,有代表性的
twist	扭轉;扭彎	打字機	典型的,有代表性的	工會
typewriter	打字機	典型的,有代表性的	工會	統一;使團結
typical	典型的,有代表性的	工會	統一;使團結	整體;一貫性
union	工會	統一;使團結	整體;一貫性	宇宙
unite	統一;使團結	整體;一貫性	宇宙	除非
unity	整體;一貫性	宇宙	除非	心煩的,苦惱的
universe	宇宙	除非	心煩的,苦惱的	空白的
unless	除非	心煩的,苦惱的	空白的	有價值的
upset	心煩的,苦惱的	空白的	有價值的	有蓋小貨車
vacant	空白的	有價值的	有蓋小貨車	使不見;使消失
valuable	有價值的	有蓋小貨車	使不見;使消失	多樣化,變化
van	有蓋小貨車	使不見;使消失	多樣化,變化	各種各樣的;好幾個的
vanish 	使不見;使消失	多樣化,變化	各種各樣的;好幾個的	使不同;變更;呈多樣化
variety	多樣化,變化	各種各樣的;好幾個的	使不同;變更;呈多樣化	花瓶
various	各種各樣的;好幾個的	使不同;變更;呈多樣化	花瓶	車輛;飛行器;傳播媒介;工具
vary	使不同;變更;呈多樣化	花瓶	車輛;飛行器;傳播媒介;工具	詩;韻文
vase	花瓶	車輛;飛行器;傳播媒介;工具	詩;韻文	背心
vehicle	車輛;飛行器;傳播媒介;工具	詩;韻文	背心	副(總統、校長、總裁等)
verse	詩;韻文	背心	副(總統、校長、總裁等)	受害者
vest	背心	副(總統、校長、總裁等)	受害者	暴力行為
vice-president	副(總統、校長、總裁等)	受害者	暴力行為	暴力的
victim	受害者	暴力行為	暴力的	紫蘿蘭
violence	暴力行為	暴力的	紫蘿蘭	可看見的
violent	暴力的	紫蘿蘭	可看見的	視力
violet	紫蘿蘭	可看見的	視力	維他命
visible	可看見的	視力	維他命	鮮豔的;生動的
