relate	有關,涉及	放鬆	釋放,解放	可信賴的;可靠的;確實的
relax	放鬆	釋放,解放	可信賴的;可靠的;確實的	緩和,減輕;解除
release	釋放,解放	可信賴的;可靠的;確實的	緩和,減輕;解除	宗教;宗教信仰
reliable	可信賴的;可靠的;確實的	緩和,減輕;解除	宗教;宗教信仰	宗教的;虔誠的
relief	緩和,減輕;解除	宗教;宗教信仰	宗教的;虔誠的	依靠,依賴
religion	宗教;宗教信仰	宗教的;虔誠的	依靠,依賴	剩下,餘留
religious	宗教的;虔誠的	依靠,依賴	剩下,餘留	提醒
rely	依靠,依賴	剩下,餘留	提醒	遙遠的
remain 	剩下,餘留	提醒	遙遠的	移動,搬開
remind	提醒	遙遠的	移動,搬開	換新;修補
remote	遙遠的	移動,搬開	換新;修補	租
remove	移動,搬開	換新;修補	租	修理
renew	換新;修補	租	修理	取代;以...代替
rent	租	修理	取代;以...代替	象徵;表示
repair	修理	取代;以...代替	象徵;表示	代表性的,典型的
replace	取代;以...代替	象徵;表示	代表性的,典型的	共和國;共和政體
represent	象徵;表示	代表性的,典型的	共和國;共和政體	請求給予
representative	代表性的,典型的	共和國;共和政體	請求給予	儲備,保存;保留
republic	共和國;共和政體	請求給予	儲備,保存;保留	抵抗,反抗;抗拒
request	請求給予	儲備,保存;保留	抵抗,反抗;抗拒	資源;物力,財力
reserve	儲備,保存;保留	抵抗,反抗;抗拒	資源;物力,財力	作答,回答
resist	抵抗,反抗;抗拒	資源;物力,財力	作答,回答	回答;答覆
resource	資源;物力,財力	作答,回答	回答;答覆	責任
respond	作答,回答	回答;答覆	責任	限制
response	回答;答覆	責任	限制	展現,顯露出
responsibility	責任	限制	展現,顯露出	緞帶;絲帶
restrict	限制	展現,顯露出	緞帶;絲帶	使免除;使擺脫;從...清除
reveal	展現,顯露出	緞帶;絲帶	使免除;使擺脫;從...清除	謎,謎語
ribbon	緞帶;絲帶	使免除;使擺脫;從...清除	謎,謎語	成熟的
rid	使免除;使擺脫;從...清除	謎,謎語	成熟的	冒...的風險
riddle	謎,謎語	成熟的	冒...的風險	吼叫;大聲叫喊;狂笑
ripe	成熟的	冒...的風險	吼叫;大聲叫喊;狂笑	烘烤
risk	冒...的風險	吼叫;大聲叫喊;狂笑	烘烤	搶劫
roar	吼叫;大聲叫喊;狂笑	烘烤	搶劫	搶劫者,強盜
roast	烘烤	搶劫	搶劫者,強盜	搶劫;盜取;搶劫案
rob	搶劫	搶劫者,強盜	搶劫;盜取;搶劫案	使穿上禮服
robber	搶劫者,強盜	搶劫;盜取;搶劫案	使穿上禮服	火箭
robbery	搶劫;盜取;搶劫案	使穿上禮服	火箭	浪漫的
robe	使穿上禮服	火箭	浪漫的	腐爛,腐壞;腐朽,破損
rocket	火箭	浪漫的	腐爛,腐壞;腐朽,破損	腐爛的;發臭的
