romantic	浪漫的	腐爛,腐壞;腐朽,破損	腐爛的;發臭的	粗糙的
rot	腐爛,腐壞;腐朽,破損	腐爛的;發臭的	粗糙的	日常的,例行的,常規的
rotten	腐爛的;發臭的	粗糙的	日常的,例行的,常規的	地毯
rough	粗糙的	日常的,例行的,常規的	地毯	謠傳;傳說
routine	日常的,例行的,常規的	地毯	謠傳;傳說	生鏽
rug	地毯	謠傳;傳說	生鏽	生鏽的
rumor	謠傳;傳說	生鏽	生鏽的	袋;粗布袋
rust	生鏽	生鏽的	袋;粗布袋	理由
rusty	生鏽的	袋;粗布袋	理由	令人滿意的
sack	袋;粗布袋	理由	令人滿意的	淺碟
sake	理由	令人滿意的	淺碟	香腸
satisfactory	令人滿意的	淺碟	香腸	挽救;節儉,節約;儲金
saucer	淺碟	香腸	挽救;節儉,節約;儲金	體重計
sausage	香腸	挽救;節儉,節約;儲金	體重計	缺乏的;不足的
saving	挽救;節儉,節約;儲金	體重計	缺乏的;不足的	稻草人;威嚇物
scale	體重計	缺乏的;不足的	稻草人;威嚇物	圍巾
scarce	缺乏的;不足的	稻草人;威嚇物	圍巾	提心吊膽的
scarecrow	稻草人;威嚇物	圍巾	提心吊膽的	使分散;使潰散
scarf	圍巾	提心吊膽的	使分散;使潰散	安排;將……列入計畫（或時間）表
scary	提心吊膽的	使分散;使潰散	安排;將……列入計畫（或時間）表	學者
scatter	使分散;使潰散	安排;將……列入計畫（或時間）表	學者	獎學金
schedule	安排;將……列入計畫（或時間）表	學者	獎學金	科學的
scholar	學者	獎學金	科學的	用勺舀
scholarship	獎學金	科學的	用勺舀	偵察;搜索;嘲笑,嘲弄
scientific	科學的	用勺舀	偵察;搜索;嘲笑,嘲弄	尖叫;放聲大哭
scoop	用勺舀	偵察;搜索;嘲笑,嘲弄	尖叫;放聲大哭	用螺釘固定
scout	偵察;搜索;嘲笑,嘲弄	尖叫;放聲大哭	用螺釘固定	用力擦洗
scream	尖叫;放聲大哭	用螺釘固定	用力擦洗	海豹
screw	用螺釘固定	用力擦洗	海豹	第二的
scrub	用力擦洗	海豹	第二的	擔保品
seal 	海豹	第二的	擔保品	尋覓
secondary	第二的	擔保品	尋覓	抓住
security	擔保品	尋覓	抓住	很少地
seek	尋覓	抓住	很少地	有知覺的;明顯的;明智的
seize	抓住	很少地	有知覺的;明顯的;明智的	敏感度高的
seldom	很少地	有知覺的;明顯的;明智的	敏感度高的	分開;分離
sensible	有知覺的;明顯的;明智的	敏感度高的	分開;分離	縫
sensitive	敏感度高的	分開;分離	縫	性別;色情;性交;性慾;性感
separation	分開;分離	縫	性別;色情;性交;性慾;性感	兩性的;關於性關係的;性慾的
sew	縫	性別;色情;性交;性慾;性感	兩性的;關於性關係的;性慾的	性感的
