arithmetic	算術的	到達	灰	在旁邊;到(或向)旁邊
arrival	到達	灰	在旁邊;到(或向)旁邊	幫助,協助
ash	灰	在旁邊;到(或向)旁邊	幫助,協助	運動員,體育家
aside	在旁邊;到(或向)旁邊	幫助,協助	運動員,體育家	試圖;企圖
assist	幫助,協助	運動員,體育家	試圖;企圖	態度
athlete	運動員,體育家	試圖;企圖	態度	吸引
attempt	試圖;企圖	態度	吸引	吸引人的
attitude	態度	吸引	吸引人的	聽眾
attract	吸引	吸引人的	聽眾	開創,發起;著作,編寫
attractive	吸引人的	聽眾	開創,發起;著作,編寫	自動的,習慣性的
audience	聽眾	開創,發起;著作,編寫	自動的,習慣性的	汽車
author	開創,發起;著作,編寫	自動的,習慣性的	汽車	可用的,可得到的,有效的
automatic	自動的,習慣性的	汽車	可用的,可得到的,有效的	大街,大道
automobile/auto	汽車	可用的,可得到的,有效的	大街,大道	平均的
available	可用的,可得到的,有效的	大街,大道	平均的	醒著的
avenue	大街,大道	平均的	醒著的	醒;覺醒;喚起
average	平均的	醒著的	醒;覺醒;喚起	授予
awake	醒著的	醒;覺醒;喚起	授予	知道的,察覺的
awaken	醒;覺醒;喚起	授予	知道的,察覺的	可怕的
award	授予	知道的,察覺的	可怕的	用斧劈
aware	知道的,察覺的	可怕的	用斧劈	背景
awful	可怕的	用斧劈	背景	培根
ax/axe	用斧劈	背景	培根	細菌
background	背景	培根	細菌	壞;拙劣地
bacon	培根	細菌	壞;拙劣地	羽毛球
bacteria	細菌	壞;拙劣地	羽毛球	行李
badly	壞;拙劣地	羽毛球	行李	置餌於
badminton	羽毛球	行李	置餌於	使平衡
baggage	行李	置餌於	使平衡	繃帶
bait	置餌於	使平衡	繃帶	發出砰的一聲;砰地敲
balance	使平衡	繃帶	發出砰的一聲;砰地敲	裸的;僅僅的
bandage	繃帶	發出砰的一聲;砰地敲	裸的;僅僅的	僅僅;勉強
bang	發出砰的一聲;砰地敲	裸的;僅僅的	僅僅;勉強	穀倉;糧倉
bare	裸的;僅僅的	僅僅;勉強	穀倉;糧倉	大桶
barely	僅僅;勉強	穀倉;糧倉	大桶	海灣
barn	穀倉;糧倉	大桶	海灣	微笑
barrel	大桶	海灣	微笑	野獸
bay	海灣	微笑	野獸	乞丐
beam 	微笑	野獸	乞丐	舉動;守規矩
beast	野獸	乞丐	舉動;守規矩	存在;生存;生命;本質
