monk	修道士;僧侶	心情,心境,情緒	拖洗;擦去	道德(上)的
mood	心情,心境,情緒	拖洗;擦去	道德(上)的	汽車旅館
mop	拖洗;擦去	道德(上)的	汽車旅館	馬達,發動機
moral	道德(上)的	汽車旅館	馬達,發動機	謀殺,兇殺
motel	汽車旅館	馬達,發動機	謀殺,兇殺	肌肉
motor	馬達,發動機	謀殺,兇殺	肌肉	香菇
murder	謀殺,兇殺	肌肉	香菇	音樂的
muscle	肌肉	香菇	音樂的	神祕,祕密
mushroom	香菇	音樂的	神祕,祕密	保姆
musical	音樂的	神祕,祕密	保姆	小睡
mystery	神祕,祕密	保姆	小睡	本土的
nanny	保姆	小睡	本土的	海軍
nap	小睡	本土的	海軍	必需品
native	本土的	海軍	必需品	領帶
navy	海軍	必需品	領帶	鄰近地區
necessity	必需品	領帶	鄰近地區	神經
necktie	領帶	鄰近地區	神經	緊張的
neighborhood	鄰近地區	神經	緊張的	電視網;電腦網絡
nerve	神經	緊張的	電視網;電腦網絡	給...起綽號
nervous	緊張的	電視網;電腦網絡	給...起綽號	崇高的;宏偉的
network	電視網;電腦網絡	給...起綽號	崇高的;宏偉的	正常的,正規的
nickname	給...起綽號	崇高的;宏偉的	正常的,正規的	小說家
noble	崇高的;宏偉的	正常的,正規的	小說家	修女;尼姑
normal	正常的,正規的	小說家	修女;尼姑	橡樹
novelist	小說家	修女;尼姑	橡樹	觀察
nun	修女;尼姑	橡樹	觀察	明顯的;顯著的
oak	橡樹	觀察	明顯的;顯著的	場合
observe	觀察	明顯的;顯著的	場合	奇特的,古怪的;單數的
obvious	明顯的;顯著的	場合	奇特的,古怪的;單數的	到～之上
occasion	場合	奇特的,古怪的;單數的	到～之上	接線生
odd	奇特的,古怪的;單數的	到～之上	接線生	機會;良機
onto	到～之上	接線生	機會;良機	相反的,對立的
operator	接線生	機會;良機	相反的,對立的	樂觀的
opportunity	機會;良機	相反的,對立的	樂觀的	起源;由來
opposite	相反的,對立的	樂觀的	起源;由來	最初的,本來的;原始的
optimistic	樂觀的	起源;由來	最初的,本來的;原始的	使成孤兒
origin	起源;由來	最初的,本來的;原始的	使成孤兒	應該
original	最初的,本來的;原始的	使成孤兒	應該	戶外的
orphan	使成孤兒	應該	戶外的	戶外的
ought to 	應該	戶外的	戶外的	外面的
