sore	疼痛的	感到悲傷;懊悔;遺憾	鍋鏟	義大利麵
sorrow	感到悲傷;懊悔;遺憾	鍋鏟	義大利麵	特殊的,特定的
spade	鍋鏟	義大利麵	特殊的,特定的	加香料於
spaghetti	義大利麵	特殊的,特定的	加香料於	溢出
specific	特殊的,特定的	加香料於	溢出	使(陀螺等)旋轉
spice	加香料於	溢出	使(陀螺等)旋轉	吐(唾液等)
spill	溢出	使(陀螺等)旋轉	吐(唾液等)	惡意,心術不良
spin	使(陀螺等)旋轉	吐(唾液等)	惡意,心術不良	濺,潑;濺起水花
spit	吐(唾液等)	惡意,心術不良	濺,潑;濺起水花	寵壞,溺愛
spite	惡意,心術不良	濺,潑;濺起水花	寵壞,溺愛	扭;扭傷
splash	濺,潑;濺起水花	寵壞,溺愛	扭;扭傷	噴灑,噴塗
spoil	寵壞,溺愛	扭;扭傷	噴灑,噴塗	灑,噴淋;撒
sprain	扭;扭傷	噴灑,噴塗	灑,噴淋;撒	暗中監視
spray	噴灑,噴塗	灑,噴淋;撒	暗中監視	榨,擠,壓
sprinkle	灑,噴淋;撒	暗中監視	榨,擠,壓	刺
spy	暗中監視	榨,擠,壓	刺	穩定
squeeze	榨,擠,壓	刺	穩定	體育場
stab 	刺	穩定	體育場	全體職員
stable	穩定	體育場	全體職員	不新鮮的;污濁的;陳舊的
stadium	體育場	全體職員	不新鮮的;污濁的;陳舊的	盯,凝視
staff	全體職員	不新鮮的;污濁的;陳舊的	盯,凝視	飢餓
stale	不新鮮的;污濁的;陳舊的	盯,凝視	飢餓	雕像,塑像
stare	盯,凝視	飢餓	雕像,塑像	穩固的,平穩的
starve	飢餓	雕像,塑像	穩固的,平穩的	陡峭的
statue	雕像,塑像	穩固的,平穩的	陡峭的	繼子(或繼女)
steady	穩固的,平穩的	陡峭的	繼子(或繼女)	繼父
steep	陡峭的	繼子(或繼女)	繼父	繼母,後母
stepchild	繼子(或繼女)	繼父	繼母,後母	立體音響裝置
stepfather	繼父	繼母,後母	立體音響裝置	黏的
stepmother	繼母,後母	立體音響裝置	黏的	硬的
stereo	立體音響裝置	黏的	硬的	刺,螫,叮
sticky	黏的	硬的	刺,螫,叮	攪拌
stiff	硬的	刺,螫,叮	攪拌	縫;繡;編結
sting	刺,螫,叮	攪拌	縫;繡;編結	長襪
stir	攪拌	縫;繡;編結	長襪	凳子;擱腳凳;解大便
stitch	縫;繡;編結	長襪	凳子;擱腳凳;解大便	暴風雨的
stocking	長襪	凳子;擱腳凳;解大便	暴風雨的	策略,計謀
stool	凳子;擱腳凳;解大便	暴風雨的	策略,計謀	力量,力氣
stormy	暴風雨的	策略,計謀	力量,力氣	剝除
strategy	策略,計謀	力量,力氣	剝除	構造;組織;建造
