inventor	發明家	調查,研究	象牙	監禁;拘留
investigate	調查,研究	象牙	監禁;拘留	罐,罈
ivory	象牙	監禁;拘留	罐,罈	下顎
jail	監禁;拘留	罐,罈	下顎	嫉妒的
jar	罐,罈	下顎	嫉妒的	果凍;果醬
jaw	下顎	嫉妒的	果凍;果醬	噴出,射出
jealous	嫉妒的	果凍;果醬	噴出,射出	寶石
jelly	果凍;果醬	噴出,射出	寶石	(總稱)珠寶;首飾
jet	噴出,射出	寶石	(總稱)珠寶;首飾	日記
jewel	寶石	(總稱)珠寶;首飾	日記	旅行
jewelry	(總稱)珠寶;首飾	日記	旅行	高興的,充滿喜悅的
journal	日記	旅行	高興的,充滿喜悅的	(熱帶)叢林,密林
journey	旅行	高興的,充滿喜悅的	(熱帶)叢林,密林	把...當廢物丟棄;拋棄
joyful	高興的,充滿喜悅的	(熱帶)叢林,密林	把...當廢物丟棄;拋棄	正義;公平
jungle	(熱帶)叢林,密林	把...當廢物丟棄;拋棄	正義;公平	袋鼠
junk	把...當廢物丟棄;拋棄	正義;公平	袋鼠	水壺
justice	正義;公平	袋鼠	水壺	鍵盤
kangaroo	袋鼠	水壺	鍵盤	腎臟
kettle	水壺	鍵盤	腎臟	公斤
keyboard	鍵盤	腎臟	公斤	公里
kidney	腎臟	公斤	公里	成套工具;配套元件
kilogram/kg	公斤	公里	成套工具;配套元件	跪
kilometer/km	公里	成套工具;配套元件	跪	封...為爵士,授...以爵士位
kit	成套工具;配套元件	跪	封...為爵士,授...以爵士位	編織
kneel	跪	封...為爵士,授...以爵士位	編織	門把
knight	封...為爵士,授...以爵士位	編織	門把	把...打結;捆紮
knit	編織	門把	把...打結;捆紮	貼標籤於
knob	門把	把...打結;捆紮	貼標籤於	用花邊等裝飾
knot	把...打結;捆紮	貼標籤於	用花邊等裝飾	梯子
label	貼標籤於	用花邊等裝飾	梯子	後者
lace 	用花邊等裝飾	梯子	後者	笑;笑聲
ladder	梯子	後者	笑;笑聲	洗衣店;送洗的衣服
latter	後者	笑;笑聲	洗衣店;送洗的衣服	草坪
laughter	笑;笑聲	洗衣店;送洗的衣服	草坪	洩漏(祕密等)
laundry	洗衣店;送洗的衣服	草坪	洩漏(祕密等)	跳
lawn	草坪	洩漏(祕密等)	跳	皮革
leak	洩漏(祕密等)	跳	皮革	閒暇,空暇時間
leap	跳	皮革	閒暇,空暇時間	使加長,使延長
leather	皮革	閒暇,空暇時間	使加長,使延長	透鏡;鏡片
leisure	閒暇,空暇時間	使加長,使延長	透鏡;鏡片	說謊的人
