deck	(船的) 艙面,甲板;(紙牌的)一副	契據;證書	使加深	解釋,給...下定義
deed	契據;證書	使加深	解釋,給...下定義	定義;釋義
deepen	使加深	解釋,給...下定義	定義;釋義	投遞,傳送
define	解釋,給...下定義	定義;釋義	投遞,傳送	民主
definition	定義;釋義	投遞,傳送	民主	有民主精神的
delivery	投遞,傳送	民主	有民主精神的	放下,放置;寄存
democracy	民主	有民主精神的	放下,放置;寄存	敘述;形容
democratic	有民主精神的	放下,放置;寄存	敘述;形容	設計者;構思者;時裝設計師
deposit	放下,放置;寄存	敘述;形容	設計者;構思者;時裝設計師	值得嚮往的;富有魅力的
description	敘述;形容	設計者;構思者;時裝設計師	值得嚮往的;富有魅力的	毀壞,破壞
designer	設計者;構思者;時裝設計師	值得嚮往的;富有魅力的	毀壞,破壞	詳述,詳細說明
desirable	值得嚮往的;富有魅力的	毀壞,破壞	詳述,詳細說明	決定
destroy 	毀壞,破壞	詳述,詳細說明	決定	魔鬼
detail	詳述,詳細說明	決定	魔鬼	對話;交談
determine	決定	魔鬼	對話;交談	節食
devil	魔鬼	對話;交談	節食	勤勉的
dialogue	對話;交談	節食	勤勉的	微暗的
diet	節食	勤勉的	微暗的	一角硬幣
diligent	勤勉的	微暗的	一角硬幣	進餐,用餐
dim	微暗的	一角硬幣	進餐,用餐	浸;泡
dime	一角硬幣	進餐,用餐	浸;泡	污物;爛泥;灰塵
dine	進餐,用餐	浸;泡	污物;爛泥;灰塵	使失望
dip	浸;泡	污物;爛泥;灰塵	使失望	迪斯科音樂
dirt	污物;爛泥;灰塵	使失望	迪斯科音樂	將...打折扣
disappoint	使失望	迪斯科音樂	將...打折扣	發現
disco/discotheque	迪斯科音樂	將...打折扣	發現	病,疾病
discount	將...打折扣	發現	病,疾病	圓盤;(電腦)磁盤
discovery	發現	病,疾病	圓盤;(電腦)磁盤	不喜愛,厭惡
disease	病,疾病	圓盤;(電腦)磁盤	不喜愛,厭惡	掘溝
disk/disc	圓盤;(電腦)磁盤	不喜愛,厭惡	掘溝	跳水
dislike	不喜愛,厭惡	掘溝	跳水	碼頭
ditch	掘溝	跳水	碼頭	閃開;迴避
dive	跳水	碼頭	閃開;迴避	國內的
dock	碼頭	閃開;迴避	國內的	(按劑量)給...服藥
dodge	閃開;迴避	國內的	(按劑量)給...服藥	懷疑的
domestic	國內的	(按劑量)給...服藥	懷疑的	排水孔
dose	(按劑量)給...服藥	懷疑的	排水孔	戲劇性的;引人注目的
doubtful	懷疑的	排水孔	戲劇性的;引人注目的	滴下
drain	排水孔	戲劇性的;引人注目的	滴下	淹沒,浸濕
dramatic	戲劇性的;引人注目的	滴下	淹沒,浸濕	昏昏欲睡的
